origin,destination,origin segment,destination segment,links crossed,links down,survey trips,ticketing trips,diff trips,diff link-trips
BatGalim-KiryatEliezer,Nazareth,trunk,T1,11,0,0.0,4.8,-4.8,-52.7
BatGalim-KiryatEliezer,TsurShalom,trunk,T2,10,0,4.1,0.0,4.1,40.7
BatGalim-KiryatEliezer,Kiryon,trunk,T2,9,0,4.1,1.0,3.1,27.8
BatGalim-KiryatEliezer,KiryatBialik Center,trunk,T2,8,0,11.1,4.1,6.9,55.5
BatGalim-KiryatEliezer,KiryatHaim,trunk,T2,7,0,19.8,7.9,11.9,83.5
BatGalim-KiryatEliezer,SavyoneyYam,trunk,T3,10,0,0.0,41.3,-41.3,-413.3
BatGalim-KiryatEliezer,KiryatYam A,trunk,T3,9,0,0.0,6.0,-5.9,-53.4
BatGalim-KiryatEliezer,KiryatYam B+C,trunk,T3,8,0,20.1,62.0,-41.9,-334.9
BatGalim-KiryatEliezer,KiryatHaim West,trunk,T3,7,0,11.4,5.6,5.8,40.5
Hamoshava,TiratCarmel,trunk,trunk,6,6,4.4,12.5,-8.1,-48.6
Hamoshava,Matam-NeotPeres,trunk,trunk,5,5,67.8,11.4,56.4,282.0
Hamoshava,HofCarmel-NeveDavid,trunk,trunk,4,4,5.5,2.1,3.4,13.5
Hamoshava,Hecht-Shprintzak,trunk,trunk,3,3,12.2,16.2,-4.0,-12.1
Hamoshava,EinHayam,trunk,trunk,2,2,3.9,0.0,3.9,7.8
Hamoshava,BatGalim-KiryatEliezer,trunk,trunk,1,1,58.6,143.4,-84.8,-84.8
Hamoshava,LowerCity,trunk,trunk,1,0,122.8,28.6,94.2,94.2
Hamoshava,Namal-Giborim,trunk,trunk,2,0,67.4,4.1,63.3,126.7
Hamoshava,Hamifrats,trunk,trunk,3,0,39.1,22.6,16.5,49.4
Hamoshava,Bazan-Hutsot,trunk,trunk,4,0,35.2,24.3,10.9,43.7
Hamoshava,TsometKiryatAta,trunk,trunk,5,0,27.9,29.7,-1.7,-8.6
Hamoshava,KiryatAta North,trunk,T1,6,0,0.1,0.0,0.1,0.7
Hamoshava,KiryatAta North-East,trunk,T1,7,0,0.0,0.0,0.0,0.3
Hamoshava,Shefaram,trunk,T1,8,0,0.1,0.5,-0.5,-3.9
Hamoshava,Hamovil,trunk,T1,9,0,0.1,7.8,-7.8,-69.9
Hamoshava,Nazareth,trunk,T1,10,0,0.0,0.0,0.0,0.4
Hamoshava,TsurShalom,trunk,T2,9,0,0.8,0.0,0.8,7.3
Hamoshava,Kiryon,trunk,T2,8,0,2.1,4.2,-2.2,-17.3
Hamoshava,KiryatBialik Center,trunk,T2,7,0,2.5,0.0,2.5,17.2
Hamoshava,KiryatHaim,trunk,T2,6,0,3.5,0.0,3.5,20.7
Hamoshava,SavyoneyYam,trunk,T3,9,0,0.0,0.0,0.0,0.0
Hamoshava,KiryatYam A,trunk,T3,8,0,0.0,0.0,0.0,0.0
Hamoshava,KiryatYam B+C,trunk,T3,7,0,0.4,0.0,0.4,3.1
Hamoshava,KiryatHaim West,trunk,T3,6,0,0.8,0.0,0.8,4.9
LowerCity,TiratCarmel,trunk,trunk,7,7,3.0,33.5,-30.5,-213.6
LowerCity,Matam-NeotPeres,trunk,trunk,6,6,45.8,21.0,24.9,149.2
LowerCity,HofCarmel-NeveDavid,trunk,trunk,5,5,3.7,2.2,1.5,7.4
LowerCity,Hecht-Shprintzak,trunk,trunk,4,4,8.2,26.9,-18.7,-74.7
LowerCity,EinHayam,trunk,trunk,3,3,2.6,0.0,2.6,7.9
LowerCity,BatGalim-KiryatEliezer,trunk,trunk,2,2,39.6,144.2,-104.6,-209.2
LowerCity,Hamoshava,trunk,trunk,1,1,26.2,0.0,26.2,26.2
LowerCity,Namal-Giborim,trunk,trunk,1,0,45.5,4.9,40.7,40.7
LowerCity,Hamifrats,trunk,trunk,2,0,26.4,29.0,-2.6,-5.2
LowerCity,Bazan-Hutsot,trunk,trunk,3,0,23.8,43.1,-19.3,-58.0
LowerCity,TsometKiryatAta,trunk,trunk,4,0,18.9,17.3,1.6,6.3
LowerCity,KiryatAta North,trunk,T1,5,0,0.1,0.0,0.1,0.4
LowerCity,KiryatAta North-East,trunk,T1,6,0,0.0,0.0,0.0,0.2
LowerCity,Shefaram,trunk,T1,7,0,0.0,0.0,0.0,0.3
LowerCity,Hamovil,trunk,T1,8,0,0.1,0.0,0.1,0.4
LowerCity,Nazareth,trunk,T1,9,0,0.0,0.0,0.0,0.2
LowerCity,TsurShalom,trunk,T2,8,0,0.5,0.0,0.5,4.4
LowerCity,Kiryon,trunk,T2,7,0,1.4,0.0,1.4,9.9
LowerCity,KiryatBialik Center,trunk,T2,6,0,1.7,13.3,-11.6,-69.6
LowerCity,KiryatHaim,trunk,T2,5,0,2.3,16.3,-13.9,-69.6
LowerCity,SavyoneyYam,trunk,T3,8,0,0.0,0.0,0.0,0.0
LowerCity,KiryatYam A,trunk,T3,7,0,0.0,0.0,0.0,0.0
LowerCity,KiryatYam B+C,trunk,T3,6,0,0.3,13.6,-13.3,-80.0
LowerCity,KiryatHaim West,trunk,T3,5,0,0.6,1.0,-0.5,-2.4
Namal-Giborim,TiratCarmel,trunk,trunk,8,8,9.6,3.9,5.7,45.7
Namal-Giborim,Matam-NeotPeres,trunk,trunk,7,7,51.8,39.1,12.7,88.7
Namal-Giborim,HofCarmel-NeveDavid,trunk,trunk,6,6,4.2,0.0,4.2,25.1
Namal-Giborim,Hecht-Shprintzak,trunk,trunk,5,5,9.3,119.8,-110.5,-552.4
