route,link,from_code,to_code,from_area,to_area,segment,direction,layer,flow_3h,PHF3h,flow_peak_hour
T3,13,304,303,KiryatHaim West,KiryatYam B+C,branch,up,taxi,0.0,0.6,0.0
T3,14,303,302,KiryatYam B+C,KiryatYam A,branch,up,taxi,0.0,0.6,0.0
T3,15,302,301,KiryatYam A,SavyoneyYam,branch,up,taxi,0.0,0.6,0.0
T3,1,201,202,TiratCarmel,Matam-NeotPeres,trunk,down,total,1290.0,,740.0
T3,2,202,203,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,down,total,4354.4,,2514.5
T3,3,203,204,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,down,total,4357.1,,2515.7
T3,4,204,205,Hecht-Shprintzak,EinHayam,trunk,down,total,3999.2,,2306.0
T3,5,205,206,EinHayam,BatGalim-KiryatEliezer,trunk,down,total,3409.6,,1965.6
T3,6,206,207,BatGalim-KiryatEliezer,Hamoshava,trunk,down,total,4535.8,,2602.4
T3,7,207,208,Hamoshava,LowerCity,trunk,down,total,3051.4,,1758.0
T3,8,208,209,LowerCity,Namal-Giborim,trunk,down,total,3485.5,,2009.5
T3,9,209,210,Namal-Giborim,Hamifrats,trunk,down,total,3197.4,,1841.9
T3,10,210,211,Hamifrats,Bazan-Hutsot,trunk,down,total,3167.1,,1822.3
T3,11,211,212,Bazan-Hutsot,TsometKiryatAta,trunk,down,total,4184.8,,2407.5
T3,12,212,304,TsometKiryatAta,KiryatHaim West,branch,down,total,4895.9,,2817.0
T3,13,304,303,KiryatHaim West,KiryatYam B+C,branch,down,total,4005.7,,2302.2
T3,14,303,302,KiryatYam B+C,KiryatYam A,branch,down,total,3325.1,,1910.6
T3,15,302,301,KiryatYam A,SavyoneyYam,branch,down,total,2358.0,,1354.0
T3,1,201,202,TiratCarmel,Matam-NeotPeres,trunk,up,total,5132.2,,3269.5
T3,2,202,203,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,up,total,3723.8,,2352.8
T3,3,203,204,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,up,total,3973.1,,2500.2
T3,4,204,205,Hecht-Shprintzak,EinHayam,trunk,up,total,5622.8,,3509.0
T3,5,205,206,EinHayam,BatGalim-KiryatEliezer,trunk,up,total,6955.8,,4341.0
T3,6,206,207,BatGalim-KiryatEliezer,Hamoshava,trunk,up,total,5937.6,,3741.4
T3,7,207,208,Hamoshava,LowerCity,trunk,up,total,4944.4,,3083.2
T3,8,208,209,LowerCity,Namal-Giborim,trunk,up,total,3608.7,,2256.0
T3,9,209,210,Namal-Giborim,Hamifrats,trunk,up,total,2752.8,,1738.0
T3,10,210,211,Hamifrats,Bazan-Hutsot,trunk,up,total,1693.7,,1061.6
T3,11,211,212,Bazan-Hutsot,TsometKiryatAta,trunk,up,total,1613.1,,1021.3
T3,12,212,304,TsometKiryatAta,KiryatHaim West,branch,up,total,540.3,,342.5
T3,13,304,303,KiryatHaim West,KiryatYam B+C,branch,up,total,1166.3,,743.2
T3,14,303,302,KiryatYam B+C,KiryatYam A,branch,up,total,699.3,,450.9
T3,15,302,301,KiryatYam A,SavyoneyYam,branch,up,total,404.5,,262.7
T3,1,201,202,TiratCarmel,Matam-NeotPeres,trunk,down,transit,194.4,,114.8
T3,2,202,203,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,down,transit,1410.5,,832.7
T3,3,203,204,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,down,transit,1380.3,,814.8
T3,4,204,205,Hecht-Shprintzak,EinHayam,trunk,down,transit,1096.7,,647.4
T3,5,205,206,EinHayam,BatGalim-KiryatEliezer,trunk,down,transit,955.5,,564.0
T3,6,206,207,BatGalim-KiryatEliezer,Hamoshava,trunk,down,transit,804.0,,474.6
T3,7,207,208,Hamoshava,LowerCity,trunk,down,transit,838.1,,494.7
T3,8,208,209,LowerCity,Namal-Giborim,trunk,down,transit,968.8,,571.9
T3,9,209,210,Namal-Giborim,Hamifrats,trunk,down,transit,753.4,,444.7
T3,10,210,211,Hamifrats,Bazan-Hutsot,trunk,down,transit,644.3,,380.2
T3,11,211,212,Bazan-Hutsot,TsometKiryatAta,trunk,down,transit,795.5,,469.6
T3,12,212,304,TsometKiryatAta,KiryatHaim West,branch,down,transit,936.3,,552.7
T3,13,304,303,KiryatHaim West,KiryatYam B+C,branch,down,transit,595.2,,351.4
T3,14,303,302,KiryatYam B+C,KiryatYam A,branch,down,transit,536.8,,316.9
T3,15,302,301,KiryatYam A,SavyoneyYam,branch,down,transit,360.5,,212.9
T3,1,201,202,TiratCarmel,Matam-NeotPeres,trunk,up,transit,540.8,,319.3
T3,2,202,203,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,up,transit,523.5,,309.1
T3,3,203,204,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,up,transit,675.0,,398.5
T3,4,204,205,Hecht-Shprintzak,EinHayam,trunk,up,transit,1249.2,,737.5
T3,5,205,206,EinHayam,BatGalim-KiryatEliezer,trunk,up,transit,1437.1,,848.4
T3,6,206,207,BatGalim-KiryatEliezer,Hamoshava,trunk,up,transit,1189.4,,702.2
T3,7,207,208,Hamoshava,LowerCity,trunk,up,transit,1099.8,,649.3
T3,8,208,209,LowerCity,Namal-Giborim,trunk,up,transit,798.8,,471.6
T3,9,209,210,Namal-Giborim,Hamifrats,trunk,up,transit,592.3,,349.7
T3,10,210,211,Hamifrats,Bazan-Hutsot,trunk,up,transit,395.9,,233.8
T3,11,211,212,Bazan-Hutsot,TsometKiryatAta,trunk,up,transit,260.1,,153.6
T3,12,212,304,TsometKiryatAta,KiryatHaim West,branch,up,transit,139.0,,82.1
T3,13,304,303,KiryatHaim West,KiryatYam B+C,branch,up,transit,273.9,,161.7
T3,14,303,302,KiryatYam B+C,KiryatYam A,branch,up,transit,77.6,,45.8
T3,15,302,301,KiryatYam A,SavyoneyYam,branch,up,transit,14.7,,8.7
