TAZ_NUMBER,avg_boardings,avg_alightings
3909,413.75,32.25
3910,219.25,120.5
3911,559.75,382.25
3912,222.75,191
3913,7.75,44.5
3914,46.75,16.75
3915,4.25,0.5
3916,157.75,101
3917,310.5,405.75
3918,416.5,99
3919,1576.5,1289.25
3920,0.5,0
3921,93,302.75
3922,4.25,10.75
4001,154,79.75
4002,80.75,172.5
4003,103.25,140.75
4004,673.25,585
4005,155,21.75
4006,0.75,25.25
4007,250,381.25
4008,89,380.75
4010,2838.25,1478.75
4011,496.5,248.75
4012,621.75,137
4013,113.25,39
4014,1005.75,1358.75
4015,1813.25,2257.25
4016,1018.5,417
4017,91.5,16.75
4018,36.5,8.25
4019,72.5,147.75
4020,56.25,58
4021,76.25,46.75
4022,8.75,4.25
232,7.25,24.5
233,1.5,19.75
235,7.5,4
334,2.5,28.75
403,30.25,6.75
411,22.75,2.75
412,25.5,4
420,10.5,0
718,1.75,0.75
727,2.25,1.5
911,1.25,0
917,1.5,1.75
1214,1,13.75
1901,15,4
1911,21.25,12
1912,21.75,0.25
1920,1,0.25
1935,32.75,1.5
2220,29.5,11.25
2416,35.5,49.5
3004,22,8.75
3005,3.25,5.75
3007,14.5,37.5
3008,13,6.75
3011,3.25,0
3012,22.25,25
3212,5,0.25
3410,0.75,0
3429,1,0
3507,34,0
3525,2.25,34.5
3607,1.75,14.25
3807,107.75,64.25
3809,127,225
3811,129.5,54
3812,78.75,8.5
3813,1,0
3817,4,4.5
3819,32.5,61
3831,2.5,0.25
312,0.25,1
313,0.25,1
1721,0.5,0
2103,1.75,0.75
3420,0.5,0
226,0,4.5
309,0,0.5
925,0,35.25
1215,0,0.75
1204,0,3.75
1522,0,0.25
302,0,0.5
