stop_code,lat,lon,TAZ_NUMBER
11011.000000,31.805193,34.661045,
11020.000000,31.787439,34.662054,
277.000000,31.787510,35.188178,
1255.000000,31.754216,35.214349,
21374.000000,32.085600,34.837347,
23051.000000,32.075852,34.833822,
26469.000000,32.071240,34.838308,
28525.000000,32.076786,34.833392,
25839.000000,32.092069,34.776266,
21303.000000,32.077609,34.791101,
34016.000000,32.010288,34.789727,
42659.000000,32.793809,34.959025,1517.000000
32328.000000,32.074614,34.880469,
37206.000000,32.155104,34.894483,
5200.000000,31.787909,35.203428,
60518.000000,31.649128,35.146850,
13124.000000,31.240376,34.789471,
31328.000000,31.929677,34.798887,
36090.000000,31.994732,34.742436,
17102.000000,31.987987,34.757392,
36129.000000,32.010386,34.743849,
26333.000000,32.081364,34.818722,
21289.000000,32.069847,34.793808,
27071.000000,32.119046,34.812357,
31579.000000,31.982527,34.809670,
25565.000000,32.075411,34.775108,
21125.000000,32.078281,34.801218,
34063.000000,32.091717,34.865871,
31881.000000,31.997018,34.762776,
21415.000000,32.095157,34.794466,
26618.000000,32.114288,34.789734,
36139.000000,32.012171,34.746522,
36267.000000,32.016884,34.759275,
31658.000000,32.082086,34.883458,
31191.000000,32.083066,34.897829,
21554.000000,32.056561,34.776495,
26713.000000,32.116082,34.824143,
21675.000000,32.071363,34.789196,
32411.000000,32.075781,34.886288,
25683.000000,32.058255,34.791868,
25840.000000,32.093287,34.776572,
25346.000000,32.065425,34.765682,
25836.000000,32.092273,34.779074,
24090.000000,32.056456,34.780692,
32370.000000,32.090502,34.895123,
21764.000000,32.079720,34.795100,
40473.000000,32.464388,35.037687,3826.000000
34202.000000,32.324197,34.867696,
26151.000000,32.053915,34.824428,
26135.000000,32.076926,34.815073,
39237.000000,32.324201,34.856548,
32967.000000,32.072389,34.898295,
32296.000000,32.072026,34.893711,
32270.000000,32.092397,34.854627,
32495.000000,32.085701,34.881376,
20697.000000,32.088740,34.782552,
26784.000000,32.118910,34.834075,
26472.000000,32.069215,34.838968,
21531.000000,32.061938,34.799749,
34594.000000,31.999074,34.769438,
20353.000000,32.055692,34.783286,
1473.000000,31.759857,35.176255,
25281.000000,32.043610,34.780795,
17048.000000,32.037036,34.776461,
2028.000000,31.783875,35.191782,
21654.000000,32.085293,34.810136,
36384.000000,32.021690,34.776251,
21436.000000,32.046062,34.804024,
41603.000000,32.813649,35.115481,902.000000
43059.000000,32.805236,35.102941,910.000000
2960.000000,31.820636,35.255452,
2387.000000,31.812794,35.193318,
108.000000,31.797535,35.213728,
17002.000000,31.901238,35.005712,
3009.000000,31.837512,35.234064,
5836.000000,31.795810,35.132449,
1524.000000,31.775305,35.207895,
1836.000000,31.778640,35.197596,
42632.000000,32.803283,35.104050,908.000000
43051.000000,32.803593,35.091442,909.000000
55480.000000,32.620782,35.329558,3609.000000
52174.000000,32.608723,35.292777,3617.000000
36063.000000,31.962669,34.800055,
34783.000000,31.962413,34.812357,
27117.000000,32.061644,34.780784,
25261.000000,32.039963,34.769550,
25732.000000,32.077809,34.791077,
36282.000000,32.030032,34.762146,
20825.000000,32.053900,34.774813,
31457.000000,32.006834,34.754491,
21516.000000,32.078796,34.781162,
37028.000000,32.177245,34.900307,
25818.000000,32.081798,34.781421,
38635.000000,31.987208,34.757307,
35707.000000,31.974899,34.776041,
1555.000000,31.781115,35.212030,
21490.000000,32.061576,34.773543,
35909.000000,31.965847,34.802463,
19362.000000,31.798929,34.645100,
13381.000000,31.835701,34.679519,
12015.000000,31.803539,34.642044,
32171.000000,31.790315,34.757424,
11005.000000,31.808104,34.645763,
11057.000000,31.799490,34.661020,
13120.000000,31.785136,34.663801,
1604.000000,31.786078,35.184670,
26692.000000,32.124862,34.802224,
969.000000,31.753511,35.193693,
14261.000000,31.258208,35.214208,
463.000000,31.787718,35.203367,
6134.000000,31.783668,35.214324,
39187.000000,32.293898,34.852491,
26760.000000,32.161958,34.808550,
17034.000000,32.163558,34.817406,
1629.000000,31.755975,35.200883,
