TAZ,SZ,corridor,P_2022,P_year,E_2022,E_year,I_2022,I_year,J_2022,J_year,O_2022_car,O_year_car,origin basis,D_2022_car,D_year_car,destination basis,O_2022_transit,O_year_transit,D_2022_transit,D_year_transit,O_2022_taxi,O_year_taxi,D_2022_taxi,D_year_taxi
409,4,True,4341.8529,4427.0000,1738.7965,2058.0000,2412.5251,2495.0803,2564.0968,2846.5254,1915.6377,1981.1897,own rate (multiplicative),1898.2271,2038.3521,own rate (multiplicative),50.6705,52.4044,12.5850,13.9310,0.0000,0.0000,0.0000,0.0000
410,4,False,1054.6830,1008.0000,132.0485,140.0000,550.1395,527.4943,386.4520,380.5802,0.0000,0.0000,own rate (multiplicative),0.0000,0.0000,own rate (multiplicative),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
411,4,False,7418.5401,7885.0000,818.4091,1028.0000,3855.9805,4117.9830,2628.3682,2922.3913,2322.4630,2480.2675,own rate (multiplicative),1053.5858,1133.1110,own rate (multiplicative),13.3276,14.2332,12.5203,13.8808,0.0000,0.0000,0.0000,0.0000
412,4,False,5113.9049,5296.0000,661.0513,782.0000,2670.0630,2777.1797,1890.7331,2037.3737,2060.6491,2143.3176,own rate (multiplicative),869.6076,906.3880,own rate (multiplicative),118.6304,123.3896,9.6487,10.3671,0.0000,0.0000,0.0000,0.0000
413,4,False,5231.6554,5418.0000,2572.1684,3040.0000,2965.9076,3118.0558,3477.9918,3908.2038,2108.1126,2216.2567,own rate (multiplicative),3381.6056,3675.5469,own rate (multiplicative),125.0262,131.4399,28.3026,31.7119,0.0000,0.0000,0.0000,0.0000
414,4,False,4279.8056,4434.0000,750.2447,887.0000,2258.9188,2353.8678,1742.7640,1894.8961,1725.0161,1797.5236,own rate (multiplicative),986.5625,1037.5804,own rate (multiplicative),106.4367,110.9106,28.1962,30.5693,0.0000,0.0000,0.0000,0.0000
415,4,False,10228.1961,10593.0000,1469.1872,1737.0000,5358.5037,5576.2514,3901.3312,4215.8762,4121.6126,4289.0981,own rate (multiplicative),1931.9682,2019.4140,own rate (multiplicative),237.1306,246.7666,16.3614,17.6296,0.0000,0.0000,0.0000,0.0000
416,4,False,0.0000,0.0000,825.0000,825.0000,101.9840,101.9840,671.7520,671.7520,0.0000,0.0000,superzone rate on the increment,970.2753,938.5239,own rate (multiplicative),1.8117,1.8117,11.1082,11.0762,0.0000,0.0000,0.0000,0.0000
417,4,False,3710.6754,3843.0000,1434.8513,1695.0000,2055.4889,2154.6223,2149.6833,2396.5040,1495.2684,1567.3832,own rate (multiplicative),1885.7729,2033.4965,own rate (multiplicative),90.2753,94.6292,17.4649,19.4141,0.0000,0.0000,0.0000,0.0000
418,4,False,4370.1423,4645.0000,999.8066,1217.0000,2335.4918,2501.4567,1969.8598,2219.4001,1997.1411,2139.0622,own rate (multiplicative),1492.7432,1626.8060,own rate (multiplicative),111.9965,119.9552,12.2168,13.7247,0.0000,0.0000,0.0000,0.0000
419,4,False,4494.8061,4777.0000,1028.4085,1252.0000,2402.1246,2572.5937,2026.1186,2282.8087,2053.9669,2199.7286,own rate (multiplicative),1535.5985,1673.5270,own rate (multiplicative),137.7102,147.4830,20.4205,22.9413,0.0000,0.0000,0.0000,0.0000
420,4,True,0.0000,0.0000,77.0000,77.0000,9.5185,9.5185,62.6969,62.6969,0.0000,0.0000,superzone rate on the increment,89.0027,86.0902,superzone rate on the increment,3.0435,3.0435,3.1140,3.1051,0.0000,0.0000,0.0000,0.0000
421,4,False,5909.4469,6026.0000,652.9257,764.0000,3071.7133,3144.4360,2094.5140,2215.7805,2458.3840,2516.5862,own rate (multiplicative),820.5521,839.6533,own rate (multiplicative),113.7127,116.4049,21.6465,22.8339,0.0000,0.0000,0.0000,0.0000
422,4,True,4946.3816,5043.0000,966.7516,764.0000,2623.0627,2646.9015,2095.3431,1955.8063,2182.2451,2202.0777,own rate (multiplicative),806.2488,727.9309,own rate (multiplicative),76.6230,77.3194,16.7085,15.5509,0.0000,0.0000,0.0000,0.0000
423,4,True,2411.2908,2459.0000,1311.9829,1546.0000,1382.6313,1435.7072,1705.9899,1909.1547,1063.9894,1104.8335,own rate (multiplicative),1428.0760,1545.8465,own rate (multiplicative),29.2117,30.3330,8.3454,9.3124,0.0000,0.0000,0.0000,0.0000
501,5,False,4836.5246,5004.0000,128.5251,134.0000,2463.8408,2549.2834,1383.7676,1432.5177,3293.8611,3408.0876,own rate (multiplicative),275.1070,275.4793,own rate (multiplicative),19.3548,20.0260,7.9170,8.1724,72.0843,74.5840,16.4323,17.0150
502,5,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,superzone rate on the increment,0.0000,0.0000,superzone rate on the increment,7.5806,7.5806,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
503,5,False,3237.7413,3350.0000,1031.9884,1026.0000,1766.3179,1822.3961,1696.5773,1721.3904,849.8648,876.8469,own rate (multiplicative),850.1553,834.3617,own rate (multiplicative),867.9196,895.4749,20.5447,20.7852,171.7348,177.1871,0.0000,0.0000
504,5,False,4044.6019,4186.0000,706.1714,714.0000,2134.4248,2206.9597,1644.6731,1688.4431,619.2095,640.2523,own rate (multiplicative),392.5304,389.7898,own rate (multiplicative),142.3492,147.1867,14.4220,14.7632,307.8283,318.2893,85.1920,87.4790
505,5,False,4362.5212,4513.0000,575.1319,597.0000,2279.1375,2358.0039,1622.0551,1679.6582,1151.9870,1191.8499,own rate (multiplicative),677.5917,678.6937,own rate (multiplicative),181.7576,188.0471,194.3543,200.6768,179.9961,186.2246,0.0000,0.0000
506,5,False,2096.5686,2170.0000,231.0000,231.0000,1089.7103,1126.8768,742.5705,761.9909,610.9196,631.7561,own rate (multiplicative),223.8073,222.1451,own rate (multiplicative),224.4661,232.1219,27.7129,28.3558,57.3292,59.2845,0.0000,0.0000
507,5,False,1868.1574,1946.0000,387.9692,394.0000,993.5066,1033.6513,809.9739,835.4715,546.6902,568.7804,own rate (multiplicative),372.0438,371.1975,own rate (multiplicative),183.3246,190.7322,26.7152,27.4769,51.3018,53.3748,0.0000,0.0000
508,5,False,1708.1441,1767.0000,318.3694,313.0000,903.9139,933.0394,710.9838,722.1775,497.5545,513.5865,own rate (multiplicative),311.9735,306.5154,own rate (multiplicative),168.5047,173.9342,71.4659,72.3821,46.6909,48.1953,0.0000,0.0000
509,5,False,2378.4741,2461.0000,311.5689,317.0000,1242.3533,1284.7943,882.7289,908.9768,692.9189,716.5902,own rate (multiplicative),298.4095,297.2271,own rate (multiplicative),276.0539,285.4844,29.7936,30.5912,65.0238,67.2452,0.0000,0.0000
510,5,False,3305.3132,3420.0000,1545.1623,1532.0000,1863.9557,1920.3760,2132.2973,2151.9112,831.1371,856.2949,own rate (multiplicative),2133.7746,2082.9339,own rate (multiplicative),273.3430,281.6168,457.0139,459.8898,41.0292,42.2712,0.0000,0.0000
511,5,False,3243.1299,3356.0000,238.1752,234.0000,1670.9165,1727.5283,1051.6442,1078.0953,815.5559,843.1875,own rate (multiplicative),336.5716,333.7460,own rate (multiplicative),183.8425,190.0713,69.8060,71.3557,40.2601,41.6241,0.0000,0.0000
512,5,False,2834.4703,2934.0000,173.1972,172.0000,1456.0456,1506.2735,890.6579,916.0057,712.9327,737.5261,own rate (multiplicative),243.0019,241.7394,own rate (multiplicative),184.4451,190.8078,47.1510,48.3533,35.1941,36.4081,0.0000,0.0000
513,5,False,5118.5894,5297.0000,763.9374,776.0000,2685.1525,2776.9442,1975.7465,2032.7527,1287.2245,1331.2281,own rate (multiplicative),1072.1241,1066.9615,own rate (multiplicative),299.7828,310.0309,214.9746,220.5405,63.5442,65.7164,0.0000,0.0000
514,5,False,1339.8867,1386.0000,73.1934,72.0000,687.2166,710.4088,413.9575,425.1813,353.7986,365.7386,own rate (multiplicative),85.5139,84.9582,own rate (multiplicative),108.4704,112.1310,24.0276,24.6081,55.2805,57.1461,0.0000,0.0000
601,6,False,7792.6885,8355.0000,1586.5203,1799.0000,4140.3031,4451.1769,3352.7499,3674.4750,5434.7067,5842.7705,own rate (multiplicative),3775.8735,4002.7820,own rate (multiplicative),93.9584,101.0132,136.9444,149.6532,118.9355,127.8657,225.5354,247.2333
602,6,False,3165.6392,3394.0000,271.1466,366.0000,1635.7712,1763.0790,1057.9970,1195.6255,1804.1665,1944.5800,own rate (multiplicative),537.5288,587.5744,own rate (multiplicative),409.1300,440.9715,152.8617,172.2491,145.7451,157.0880,29.7588,33.6375
603,6,False,3340.3690,3581.0000,1581.2933,1631.0000,1886.1651,2014.1024,2170.9880,2275.1011,1903.6298,2032.7517,own rate (multiplicative),3555.1268,3603.7010,own rate (multiplicative),346.8641,370.3917,694.9084,726.1371,153.7802,164.2110,196.8198,206.3052
604,6,False,4748.8318,5092.0000,92.2092,311.0000,2414.9668,2615.7038,1331.0054,1599.9124,2706.6741,2931.6584,own rate (multiplicative),99.2734,115.4249,own rate (multiplicative),463.6207,502.1578,25.3282,30.3577,218.6521,236.8269,5.4960,6.6079
605,6,False,3786.0801,4058.0000,1252.3661,1347.0000,2071.0959,2220.4234,2021.0380,2170.0079,2265.0831,2428.3973,own rate (multiplicative),3546.5389,3683.3411,own rate (multiplicative),145.1784,155.6459,195.4849,209.2897,0.0000,0.0000,229.4138,246.3795
606,6,False,4473.3532,4795.0000,229.5579,235.0000,2292.5150,2455.9857,1369.9850,1459.4822,2676.3918,2867.2353,own rate (multiplicative),670.2828,690.7031,own rate (multiplicative),75.1771,80.5376,53.7731,57.1210,0.0000,0.0000,43.3584,46.2013
607,6,False,5385.4162,5774.0000,627.0509,644.0000,2803.2824,3002.0550,1934.8551,2051.4246,3222.5817,3451.0855,own rate (multiplicative),1721.8981,1765.8952,own rate (multiplicative),100.2795,107.3901,154.7904,163.6436,0.0000,0.0000,111.3839,118.1212
608,6,False,3466.1579,3716.0000,408.3553,426.0000,1804.8368,1933.4727,1249.1966,1329.6396,2483.7635,2660.7886,own rate (multiplicative),645.2280,664.3037,own rate (multiplicative),657.9666,704.8618,66.0845,70.1375,140.6315,150.6547,3.4068,3.6270
609,6,False,2230.5392,2392.0000,367.4135,382.0000,1174.3811,1257.9058,889.0758,943.6543,1334.9254,1429.8684,own rate (multiplicative),1061.7753,1090.0769,own rate (multiplicative),58.0356,62.1633,82.0093,86.7931,0.0000,0.0000,68.6828,72.9156
610,6,False,2440.4429,2616.0000,1636.1958,1778.0000,1437.4645,1543.8502,1977.6884,2139.5813,1748.6051,1878.0181,own rate (multiplicative),2556.5562,2675.3257,own rate (multiplicative),467.3508,501.9391,256.4283,276.6207,99.0065,106.3339,13.4987,14.6070
611,6,False,2199.6042,2363.0000,597.4752,648.0000,1187.1632,1276.1099,1068.2208,1152.5737,1578.3414,1696.5966,own rate (multiplicative),932.3500,973.0541,own rate (multiplicative),420.3211,451.8132,122.7773,132.0911,89.3661,96.0618,4.9229,5.3128
