home_2636,sampled_persons_1,weighted_persons_1,weighted_trips_1,rate_1,sampled_persons_2,weighted_persons_2,weighted_trips_2,rate_2,rate_avg
2077,5,1419.95,2049.5,1.44337,6,1580.78,1888.67,1.19477,1.31907
2078,5,1261.38,1917.33,1.52003,4,1059.57,1143.68,1.07938,1.29971
2079,1,204.097,204.097,1,,,,,1
2080,14,4105.84,3286.45,0.800433,11,3055.84,4001.62,1.3095,1.05497
2081,6,1735.45,1217.72,0.701677,7,2085.45,1217.72,0.583915,0.642796
2085,129,13455.9,6908.11,0.513388,128,13278.7,5747.69,0.432852,0.47312
2086,13,759.992,190.842,0.251111,12,582.699,214.564,0.368225,0.309668
2087,65,906.58,577.999,0.63756,64,894.372,547.057,0.611666,0.624613
2088,165,13154.1,9703.31,0.737662,164,13051,9268.01,0.710136,0.723899
2089,16,1048.88,608.495,0.580136,16,1018.93,338.263,0.331979,0.456058
2090,54,8243.61,4589.75,0.556764,53,8037.2,4054.31,0.504443,0.530604
2091,48,2812.73,1951.98,0.693981,48,2812.73,1922.79,0.683602,0.688792
2092,45,1258.42,1199.59,0.953249,45,1249.93,1317.98,1.05444,1.00385
2093,86,8804.99,5700.1,0.647372,86,8804.99,5695.1,0.646803,0.647087
2096,44,15400,11900,0.772727,44,15400,10850,0.704545,0.738636
2098,36,5184.76,3655,0.70495,35,5091.94,3877.39,0.761477,0.733214
2099,28,6432.54,5564.54,0.86506,28,6432.54,7036.22,1.09385,0.979454
2100,18,5043.3,5416.92,1.07408,18,5043.3,6045,1.19862,1.13635
2101,11,3687.16,2734.87,0.741726,11,3687.16,634.866,0.172183,0.456954
2102,12,4199.92,1399.92,0.33332,12,4199.92,4199.89,0.999993,0.666657
2103,16,2683.93,720.416,0.268418,16,2683.93,1309.86,0.488038,0.378228
2104,33,6961.24,4605.97,0.66166,33,6961.24,4879.96,0.701019,0.68134
2105,31,4054.42,2723.17,0.671655,31,4054.42,3164.77,0.780572,0.726114
2106,30,6109.96,3604.18,0.589886,27,5133.82,2554.18,0.49752,0.543703
2107,34,9218.85,5973.75,0.647994,32,9251.91,5541.91,0.599002,0.623498
2108,14,3028.32,2213.2,0.730835,14,3028.32,2042.86,0.674586,0.70271
2109,27,5835.03,4032.14,0.691023,31,6428.11,4163.52,0.647706,0.669364
2110,86,13208.1,10083.1,0.763407,86,13208.1,8603.71,0.651398,0.707403
2111,8,2592.29,2798.73,1.07964,8,2592.29,2448.89,0.944685,1.01216
2112,1,31.3633,0,0,1,31.3633,0,0,0
2113,47,9819.12,7157.78,0.728963,47,10022.3,4487.61,0.447762,0.588363
2114,13,4444.68,1697.34,0.381881,13,4444.68,3044.68,0.685017,0.533449
2115,33,8071.22,6381.69,0.790672,33,8071.22,6905.08,0.855518,0.823095
2116,35,5598.7,3129.69,0.559003,33,5077.27,3255.82,0.641255,0.600129
2117,17,5950,5600,0.941176,16,5600,3150,0.5625,0.751838
2118,6,2100,2100,1,6,2100,2800,1.33333,1.16667
2119,12,4200,3500,0.833333,11,3850,4200,1.09091,0.962121
2120,3,1050,700,0.666667,3,1050,1050,1,0.833333
2121,34,8953.27,7611.94,0.850185,34,8953.27,6211.94,0.693818,0.772002
2122,42,11337.4,12625.8,1.11363,42,11337.4,12115.7,1.06864,1.09114
