scenario-year,LRT scenario,link,from_area,to_area,direction,transit_nobuild_3h_trunk_projection,car_nobuild_3h_trunk_projection,lrt_3h,lrt_3h_low,lrt_3h_high,lrt_peak_hour
BU_2050,LRT all underground,1,TiratCarmel,Matam-NeotPeres,up,2499.2,10924.1,1188.5,1481.9,983.2,653.0
BU_2050,LRT all underground,1,TiratCarmel,Matam-NeotPeres,down,1123.5,2404.2,492.7,617.4,403.5,225.1
BU_2050,LRT all underground,2,Matam-NeotPeres,HofCarmel-NeveDavid,up,1970.7,6220.0,851.1,1085.9,667.8,467.6
BU_2050,LRT all underground,2,Matam-NeotPeres,HofCarmel-NeveDavid,down,2261.7,4753.6,828.1,1109.7,600.5,378.3
BU_2050,LRT all underground,3,HofCarmel-NeveDavid,Hecht-Shprintzak,up,1960.9,5932.4,820.1,1061.0,627.1,450.5
BU_2050,LRT all underground,3,HofCarmel-NeveDavid,Hecht-Shprintzak,down,2203.7,4224.9,810.2,1083.9,589.4,370.1
BU_2050,LRT all underground,4,Hecht-Shprintzak,EinHayam,up,2231.2,6440.6,899.8,1181.8,672.3,494.3
BU_2050,LRT all underground,4,Hecht-Shprintzak,EinHayam,down,1940.2,4076.5,712.7,955.4,519.4,325.6
BU_2050,LRT all underground,5,EinHayam,BatGalim-KiryatEliezer,up,2501.9,7573.3,976.2,1294.1,720.7,536.3
BU_2050,LRT all underground,5,EinHayam,BatGalim-KiryatEliezer,down,1767.8,3572.6,670.3,879.7,501.8,306.2
BU_2050,LRT all underground,6,BatGalim-KiryatEliezer,Hamoshava,up,1701.0,6039.7,756.9,929.0,623.3,415.9
BU_2050,LRT all underground,6,BatGalim-KiryatEliezer,Hamoshava,down,2322.9,7484.2,962.4,1197.8,783.3,439.6
BU_2050,LRT all underground,7,Hamoshava,LowerCity,up,1741.7,4488.6,774.8,944.7,641.8,425.7
BU_2050,LRT all underground,7,Hamoshava,LowerCity,down,2595.8,5539.0,1129.0,1335.3,978.0,515.7
BU_2050,LRT all underground,8,LowerCity,Namal-Giborim,up,1123.8,3511.1,519.6,615.5,450.8,285.5
BU_2050,LRT all underground,8,LowerCity,Namal-Giborim,down,3547.9,6506.8,1673.9,1931.9,1500.2,764.6
BU_2050,LRT all underground,9,Namal-Giborim,Hamifrats,up,4256.7,22355.6,972.8,1611.4,606.1,534.5
BU_2050,LRT all underground,9,Namal-Giborim,Hamifrats,down,9770.1,41538.4,2309.8,3609.4,1699.4,1055.1
BU_2050,LRT all ground,1,TiratCarmel,Matam-NeotPeres,up,2499.2,10924.1,728.3,1144.4,459.2,400.1
BU_2050,LRT all ground,1,TiratCarmel,Matam-NeotPeres,down,1123.5,2404.2,326.3,498.6,210.1,149.1
BU_2050,LRT all ground,2,Matam-NeotPeres,HofCarmel-NeveDavid,up,1970.7,6220.0,442.8,783.0,226.4,243.3
BU_2050,LRT all ground,2,Matam-NeotPeres,HofCarmel-NeveDavid,down,2261.7,4753.6,523.6,897.5,267.9,239.2
BU_2050,LRT all ground,3,HofCarmel-NeveDavid,Hecht-Shprintzak,up,1960.9,5932.4,401.8,741.0,182.8,220.7
BU_2050,LRT all ground,3,HofCarmel-NeveDavid,Hecht-Shprintzak,down,2203.7,4224.9,401.3,669.9,207.8,183.3
BU_2050,LRT all ground,4,Hecht-Shprintzak,EinHayam,up,2231.2,6440.6,444.9,829.3,194.9,244.4
BU_2050,LRT all ground,4,Hecht-Shprintzak,EinHayam,down,1940.2,4076.5,300.5,518.3,146.1,137.3
BU_2050,LRT all ground,5,EinHayam,BatGalim-KiryatEliezer,up,2501.9,7573.3,480.3,899.1,208.5,263.9
BU_2050,LRT all ground,5,EinHayam,BatGalim-KiryatEliezer,down,1767.8,3572.6,242.8,416.6,118.3,110.9
BU_2050,LRT all ground,6,BatGalim-KiryatEliezer,Hamoshava,up,1701.0,6039.7,403.4,649.7,230.0,221.6
BU_2050,LRT all ground,6,BatGalim-KiryatEliezer,Hamoshava,down,2322.9,7484.2,481.8,706.7,306.5,220.1
BU_2050,LRT all ground,7,Hamoshava,LowerCity,up,1741.7,4488.6,403.6,638.7,237.3,221.7
BU_2050,LRT all ground,7,Hamoshava,LowerCity,down,2595.8,5539.0,633.4,840.9,467.5,289.3
BU_2050,LRT all ground,8,LowerCity,Namal-Giborim,up,1123.8,3511.1,257.3,394.4,161.5,141.3
BU_2050,LRT all ground,8,LowerCity,Namal-Giborim,down,3547.9,6506.8,980.0,1250.3,760.7,447.7
BU_2050,LRT all ground,9,Namal-Giborim,Hamifrats,up,4256.7,22355.6,618.3,1272.1,273.0,339.7
BU_2050,LRT all ground,9,Namal-Giborim,Hamifrats,down,9770.1,41538.4,1185.0,2378.6,642.4,541.3
BU_2050,LRT design 50 km/h,1,TiratCarmel,Matam-NeotPeres,up,2499.2,10924.1,1575.9,1718.2,1583.5,865.8
BU_2050,LRT design 50 km/h,1,TiratCarmel,Matam-NeotPeres,down,1123.5,2404.2,631.3,701.5,610.0,288.4
