TAZ,SZ,corridor,P_2022,P_year,E_2022,E_year,I_2022,I_year,J_2022,J_year,O_2022_car,O_year_car,origin basis,D_2022_car,D_year_car,destination basis,O_2022_transit,O_year_transit,D_2022_transit,D_year_transit,O_2022_taxi,O_year_taxi,D_2022_taxi,D_year_taxi
3621,36,False,1934.2371,3001.0000,2697.0030,3890.0000,1312.3878,1999.7926,2707.5688,3961.0874,1273.4211,1940.4158,own rate (multiplicative),1774.7573,2439.9637,own rate (multiplicative),297.9700,454.0413,256.3404,367.1334,40.2258,61.2953,59.6716,89.8358
3622,36,False,2618.9500,4061.0000,1872.4583,2838.0000,1557.0199,2406.2548,2217.2737,3384.8403,1724.2745,2664.7339,own rate (multiplicative),1223.8234,1755.6870,own rate (multiplicative),401.8973,621.1014,179.1838,267.7870,54.4677,84.1756,41.1479,64.6418
3623,36,False,4726.6120,6817.0000,1145.4000,2106.0000,2533.9128,3710.6858,2182.6841,3517.6930,48.8112,71.4796,own rate (multiplicative),40.2540,60.9657,own rate (multiplicative),9.1620,13.4170,1.3056,2.0599,149.4813,218.9018,25.2225,41.8314
3624,36,False,1926.8501,2989.0000,1285.4838,1949.0000,1134.1613,1753.7784,1556.2930,2377.4646,824.3139,1274.6546,own rate (multiplicative),649.5916,932.5509,own rate (multiplicative),255.4125,394.9500,320.8484,479.8378,0.0000,0.0000,0.0000,0.0000
3625,36,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,superzone rate on the increment,0.0000,0.0000,superzone rate on the increment,0.5076,0.5076,0.1632,0.1598,0.0000,0.0000,0.0000,0.0000
3626,36,False,2793.6534,4331.0000,758.4366,1263.0000,1507.7321,2348.2155,1356.3911,2173.8117,6928.0069,10790.0159,own rate (multiplicative),4477.6340,6743.6503,own rate (multiplicative),248.2598,386.6520,166.3159,260.9411,0.0000,0.0000,0.0000,0.0000
3627,36,False,6726.0440,9300.0000,1662.5808,4194.0000,3609.8353,5225.5407,3132.5861,5874.5157,2883.2188,4173.7022,own rate (multiplicative),889.6250,1567.7813,own rate (multiplicative),891.7536,1290.8885,389.6169,715.2842,0.0000,0.0000,0.0000,0.0000
3628,36,False,4695.8682,7283.0000,1544.0393,2894.0000,2567.6307,4043.9566,2499.1432,4282.5610,2009.2997,3164.5987,own rate (multiplicative),792.7086,1276.5431,own rate (multiplicative),619.7289,976.0581,379.0712,635.9238,0.0000,0.0000,0.0000,0.0000
3701,37,False,1647.4008,2555.0000,956.8243,1714.0000,952.0932,1505.0642,1214.7777,2071.3370,103.6195,163.8012,own rate (multiplicative),250.0237,400.6311,own rate (multiplicative),4.5109,7.1308,6.4346,10.7411,3.7050,5.8569,2.4285,4.2613
3702,37,False,0.0000,0.0000,479.2731,676.0000,59.2463,83.5651,390.2457,550.4295,0.0000,28.8558,superzone rate on the increment,124.2047,164.6308,own rate (multiplicative),0.0000,2.6607,0.0000,0.0000,0.0000,0.0049,1.2064,1.7511
