TAZ_ID,AREA,SETTL_SIZE,CHILD_EDU,ADULT_EDU,STUDENTS,SOCECO,SECTOR_REST,SECTOR_ARA,SECTOR_ORT,POPULATION,HH_AVG_SIZE,HH_AVG_SIZE_ARAB,HH_AVG_SIZE_ORTO,HH_AVG_SIZE_REST,HH_TOT,HH_ARAB,HH_OTRO,HH_REST,EMPL_TOT,EMPL_INDU,EMPL_SERV,EMPL_OTHER,AGE_0_7,AGE_8_18,AGE_19_25,AGE_26_35,AGE_36_64,AGE_65,AGE_0_7_REST,AGE_8_18_REST,AGE_19_25_REST,AGE_26_35_REST,AGE_36_64_REST,AGE_65_REST,AGE_0_7_ARA,AGE_8_18_ARA,AGE_19_25_ARA,AGE_26_35_ARA,AGE_36_64_ARA,AGE_65_ARA,AGE_0_7_ORT,AGE_8_18_ORT,AGE_19_25_ORT,AGE_26_35_ORT,AGE_36_64_ORT,AGE_65_ORT,GIZRA,TABAAT,SZ_OLD,SZ_NEW,PRIMARY_NAFA,SECONDARY_NAFA,PERC_PRIMARY_NAFA,PERC_SECONDARY_NAFA
3201,16.03,2,549,0,5225,6,1,0,0,2460,2.5625,0,0,2.5625,960,0,0,960,1817,596,959,262,231,330,242,423,756,478,231,330,242,423,756,478,0,0,0,0,0,0,0,0,0,0,0,0,42,4,32,44,צפת,,1,0
3202,29.23,2,0,1002,0,7,1,0,0,3890,2.879348631,0,0,2.879348631,1351,0,0,1351,1981,650,1046,285,531,622,288,508,1202,739,531,622,288,508,1202,739,0,0,0,0,0,0,0,0,0,0,0,0,42,4,32,44,צפת,,1,0
3203,22.29,2,0,0,0,7,1,0,0,3198,2.878487849,0,0,2.878487849,1111,0,0,1111,1759,577,929,253,437,511,237,418,988,607,437,511,237,418,988,607,0,0,0,0,0,0,0,0,0,0,0,0,42,4,32,44,צפת,,1,0
3204,2.94,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,4,32,44,צפת,,1,0
3205,3.82,3,754,1713,0,6,1,0,0,8367,2.779734219,0,0,2.779734219,3010,0,0,3010,2767,908,1461,398,851,1405,964,1054,2859,1234,851,1405,964,1054,2859,1234,0,0,0,0,0,0,0,0,0,0,0,0,42,4,32,44,צפת,,1,0
3206,2.87,3,344,0,0,5,0.981150935,0,0.018849065,7003,2.753834054,0,3.666666667,2.740725967,2543,0,36,2507,983,322,519,142,765,1110,817,934,2368,1009,735,1082,802,911,2336,1005,0,0,0,0,0,0,30,28,15,23,32,4,42,4,32,44,צפת,,1,0
3207,3.69,3,1082,202,0,5,0.988178399,0,0.011821601,5583,2.736764706,0,3.666666667,2.728486647,2040,0,18,2022,4924,1615,2600,709,667,885,621,750,1704,956,652,872,613,738,1688,954,0,0,0,0,0,0,15,13,8,12,16,2,42,4,32,44,צפת,,1,0
3208,1.08,3,0,0,0,5,1,0,0,3802,2.638445524,0,0,2.638445524,1441,0,0,1441,3583,1175,1892,516,396,546,376,468,1263,753,396,546,376,468,1263,753,0,0,0,0,0,0,0,0,0,0,0,0,42,4,32,44,צפת,,1,0
3209,106.25,2,1173,1663,0,7,1,0,0,5762,3.109552078,0,0,3.109552078,1853,0,0,1853,4738,1554,2502,682,724,1106,460,570,1905,997,724,1106,460,570,1905,997,0,0,0,0,0,0,0,0,0,0,0,0,42,4,32,44,צפת,,1,0
3210,45.43,2,688,0,0,7,1,0,0,4668,3.107856192,0,0,3.107856192,1502,0,0,1502,1478,485,780,213,568,862,431,464,1541,802,568,862,431,464,1541,802,0,0,0,0,0,0,0,0,0,0,0,0,42,4,32,32,צפת,,1,0
