source,own_pc,matched_cellular_pc,congruence,var_share,superzone,loading,origin_score
cellular,4,4,1.0,0.08452716854432117,10,0.01208981603811926,0.05777767701970347
cellular,4,4,1.0,0.08452716854432117,11,-0.0058418958036528,-0.029942781831450157
cellular,4,4,1.0,0.08452716854432117,12,-0.07188324926384254,-0.03268096546575589
cellular,4,4,1.0,0.08452716854432117,13,-0.06880325097777815,-0.06499558853847781
cellular,4,4,1.0,0.08452716854432117,14,-0.12158760543617678,-0.0846805277594139
cellular,4,4,1.0,0.08452716854432117,15,-0.07649010814373439,-0.0777535648765382
cellular,4,4,1.0,0.08452716854432117,16,-0.185834288953572,-0.10556399732080016
cellular,4,4,1.0,0.08452716854432117,17,-0.19587110823536397,-0.10579215372800817
cellular,4,4,1.0,0.08452716854432117,18,-0.07513077152274632,-0.06899618648643828
cellular,4,4,1.0,0.08452716854432117,19,0.08263293617009315,0.04256244508372539
cellular,4,4,1.0,0.08452716854432117,20,0.0804871833534244,0.05375771872056574
cellular,4,4,1.0,0.08452716854432117,21,0.01773064115515465,0.024639240298536383
cellular,4,4,1.0,0.08452716854432117,22,-0.027575845484020936,-0.028344923691668033
cellular,4,4,1.0,0.08452716854432117,23,-0.05735436545378182,-0.06007752203723998
cellular,4,4,1.0,0.08452716854432117,24,-0.06886204453440256,-0.06510914494434279
cellular,4,4,1.0,0.08452716854432117,25,-0.025809332441901214,-0.0267637898950451
cellular,4,4,1.0,0.08452716854432117,30,0.21766777829802417,0.19512584076155898
cellular,4,4,1.0,0.08452716854432117,31,-0.37677793186877334,-0.2690810346137472
cellular,4,4,1.0,0.08452716854432117,32,-0.3312766569137423,-0.21495920017464576
cellular,4,4,1.0,0.08452716854432117,33,-0.10887803313317132,-0.053804589007149156
cellular,4,4,1.0,0.08452716854432117,34,0.2511676220538582,0.23202023388579399
cellular,4,4,1.0,0.08452716854432117,35,-0.0931291332978461,-0.04250270304925938
cellular,4,4,1.0,0.08452716854432117,36,-0.007406308253827951,0.0005053667221957836
cellular,4,4,1.0,0.08452716854432117,37,-0.11247609004836713,-0.07626368314603864
cellular,4,4,1.0,0.08452716854432117,38,0.05230873535628789,0.03619716276456073
cellular,4,4,1.0,0.08452716854432117,39,-0.009523598113147147,0.002076683245474555
cellular,4,4,1.0,0.08452716854432117,40,0.053399534965820075,0.03714977490062594
cellular,5,5,1.0,0.07297140356568299,1,-0.09568541906791551,-0.07017512717263673
cellular,5,5,1.0,0.07297140356568299,2,-0.110971690660671,-0.060893506807438436
cellular,5,5,1.0,0.07297140356568299,3,-0.12545903436369973,-0.0719072371869218
cellular,5,5,1.0,0.07297140356568299,4,0.017689711610344425,0.0008359541886199649
cellular,5,5,1.0,0.07297140356568299,5,-0.010986609198821037,-0.015988082049870726
cellular,5,5,1.0,0.07297140356568299,6,-0.012323495363055454,-0.01674027914621785
cellular,5,5,1.0,0.07297140356568299,7,-0.024182790381885127,-0.01838444142992446
cellular,5,5,1.0,0.07297140356568299,8,-0.012317095517322088,-0.014461328286104408
cellular,5,5,1.0,0.07297140356568299,9,0.0011515948888300678,-0.009454180766008874
cellular,5,5,1.0,0.07297140356568299,10,0.030522717350130558,0.10475173768325984
cellular,5,5,1.0,0.07297140356568299,11,0.006443235587471198,0.00546569060586831
cellular,5,5,1.0,0.07297140356568299,12,-0.014741081375358981,-0.00841331169776434
cellular,5,5,1.0,0.07297140356568299,13,-0.009634923617547723,-0.0056178279361709825
cellular,5,5,1.0,0.07297140356568299,14,-0.014663106160451637,-0.009292506836684644
cellular,5,5,1.0,0.07297140356568299,15,-0.010735007351070153,-0.007807175597076988
cellular,5,5,1.0,0.07297140356568299,16,-0.0060886972324807115,-0.008651715025574408
cellular,5,5,1.0,0.07297140356568299,17,-0.009197972008940574,-0.009108357478343241
cellular,5,5,1.0,0.07297140356568299,18,-0.0009746291737745592,-0.004175800024161679
cellular,5,5,1.0,0.07297140356568299,19,0.4426584718664979,0.2311294296504218
cellular,5,5,1.0,0.07297140356568299,20,0.46332631042607914,0.28424375449982603
cellular,5,5,1.0,0.07297140356568299,21,0.13447990927475084,0.15444697666540236
cellular,5,5,1.0,0.07297140356568299,22,0.07197875621345458,0.035059138289532825
cellular,5,5,1.0,0.07297140356568299,23,0.036513943597811946,0.01572504780802438
cellular,5,5,1.0,0.07297140356568299,24,-0.0032569514021247737,-0.009342411425831308
cellular,5,5,1.0,0.07297140356568299,25,-0.009626639748456067,-0.011016374906989769
cellular,5,5,1.0,0.07297140356568299,30,-0.005727859452069743,-0.016449127946031507
cellular,5,5,1.0,0.07297140356568299,31,0.007757611817746094,0.007375782246661838
cellular,5,5,1.0,0.07297140356568299,32,-0.007272505806787904,-0.005943402587670837
cellular,5,5,1.0,0.07297140356568299,33,-0.04931652016754321,-0.029636901022162227
cellular,5,5,1.0,0.07297140356568299,34,-0.09707881784873192,-0.07952879364282184
cellular,5,5,1.0,0.07297140356568299,35,0.1655553254138791,0.1021305732404232
cellular,5,5,1.0,0.07297140356568299,36,-0.03046077716954912,0.015107227494733751
cellular,5,5,1.0,0.07297140356568299,37,-0.6938746901951157,-0.44479293634522576
cellular,5,5,1.0,0.07297140356568299,38,0.03177908075946418,0.010683272392956081
cellular,5,5,1.0,0.07297140356568299,39,-0.021668806239493327,-0.01657956133596061
cellular,5,5,1.0,0.07297140356568299,40,-0.03361154930359394,-0.022594198112137028
cellular,6,6,1.0,0.05881042982989752,1,0.0663767986967573,0.04246300041250768
cellular,6,6,1.0,0.05881042982989752,2,0.055692282227636995,0.02765115232872144
cellular,6,6,1.0,0.05881042982989752,3,-0.05506330014283052,-0.028263238032127484
cellular,6,6,1.0,0.05881042982989752,4,0.01596295304551078,0.012425666691244027
cellular,6,6,1.0,0.05881042982989752,5,-0.0015585954916417695,-0.000888884843878772
cellular,6,6,1.0,0.05881042982989752,6,0.0006532324901921103,-0.0003988800563504104
cellular,6,6,1.0,0.05881042982989752,7,0.010628584482823866,0.007538761826887367
cellular,6,6,1.0,0.05881042982989752,8,-0.003042717293267377,-0.004215426122441761
cellular,6,6,1.0,0.05881042982989752,9,0.0007132050873473589,0.0009946073883712887
cellular,6,6,1.0,0.05881042982989752,10,0.004728486686979728,0.012120791217875385
cellular,6,6,1.0,0.05881042982989752,11,0.001247093580372472,-0.000316023971357857
cellular,6,6,1.0,0.05881042982989752,12,-0.011775002593408426,-0.0054739745677639525
cellular,6,6,1.0,0.05881042982989752,13,-0.0192981684243148,-0.013033209016799599
cellular,6,6,1.0,0.05881042982989752,14,-0.03595262488242559,-0.019080568520355248
cellular,6,6,1.0,0.05881042982989752,15,-0.025848706954471425,-0.017023429515194827
cellular,6,6,1.0,0.05881042982989752,16,-0.06044084130879778,-0.026474127218202515
cellular,6,6,1.0,0.05881042982989752,17,-0.05989319496503306,-0.025791135396354088
cellular,6,6,1.0,0.05881042982989752,18,-0.013942803919032165,-0.01217887539566678
cellular,6,6,1.0,0.05881042982989752,19,0.13039867300756855,0.05837483585983318
cellular,6,6,1.0,0.05881042982989752,20,0.21282537639372498,0.11915989392815
cellular,6,6,1.0,0.05881042982989752,21,0.06738333909447305,0.07146863270275466
cellular,6,6,1.0,0.05881042982989752,22,0.029820278981501035,0.014661909808581005
cellular,6,6,1.0,0.05881042982989752,23,0.004526185203484781,-0.0002614777094966505
cellular,6,6,1.0,0.05881042982989752,24,-0.029737301500575925,-0.019086793730046226
cellular,6,6,1.0,0.05881042982989752,25,-0.023290837007845122,-0.018033231862044575
cellular,6,6,1.0,0.05881042982989752,30,-0.11709313888912963,-0.07732879184720072
cellular,6,6,1.0,0.05881042982989752,31,0.08920371499831845,0.030648639513090877
cellular,6,6,1.0,0.05881042982989752,32,0.2307109397167626,0.13049737037760148
cellular,6,6,1.0,0.05881042982989752,33,0.2692680165854182,0.13668501449151987
cellular,6,6,1.0,0.05881042982989752,34,0.06646928656011773,0.04457359137264882
cellular,6,6,1.0,0.05881042982989752,35,-0.8615220948752899,-0.4951455759724294
cellular,6,6,1.0,0.05881042982989752,36,0.1013340033950871,0.06158456003793761
cellular,6,6,1.0,0.05881042982989752,37,0.003992287817186052,0.0076283750279532376
cellular,6,6,1.0,0.05881042982989752,38,0.04322239287702992,0.025782308730153292
cellular,6,6,1.0,0.05881042982989752,39,-0.03989363074590855,-0.019132758056338687
cellular,6,6,1.0,0.05881042982989752,40,-0.046804171934322084,-0.02213270988178169
survey d10,2,1,0.8913729014497291,0.050624453668115375,1,-0.07499853002177181,-0.07500411516266026
survey d10,2,1,0.8913729014497291,0.050624453668115375,2,-0.10797922654201352,-0.09957055234979922
survey d10,2,1,0.8913729014497291,0.050624453668115375,3,-0.022888827567021593,-0.020785177989894522
survey d10,2,1,0.8913729014497291,0.050624453668115375,4,-0.043398469189930546,-0.05828038600624598
survey d10,2,1,0.8913729014497291,0.050624453668115375,5,-0.0709965358977448,-0.09530809942144165
survey d10,2,1,0.8913729014497291,0.050624453668115375,6,-0.10745617390734022,-0.1069874597894248
