TAZ,households,sampled_persons,weighted_persons,weighted_trips_10,weighted_trips_20,rate_10,rate_20,rate_avg
1407,7,19,1534.43,1467.75,1534.9,0.956543,1.00031,0.978426
1408,6,13,1557.43,1059.4,194.539,0.68022,0.12491,0.402565
1409,3,7,1855.38,1358.45,2958.06,0.73217,1.59432,1.16325
1410,22,81,1454.01,1346.64,1482.54,0.926154,1.01962,0.972886
1411,29,63,5034.88,6095.16,5166.7,1.21059,1.02618,1.11838
1412,18,33,2321.33,1126.02,916.701,0.485074,0.394903,0.439989
1413,8,22,1481.56,1333.92,910.796,0.900347,0.614755,0.757551
1414,16,65,3379.57,3602.45,3251.38,1.06595,0.962068,1.01401
1415,47,189,3232.36,3626.62,3605.92,1.12197,1.11557,1.11877
1416,8,17,860.221,1032.85,987.653,1.20068,1.14814,1.17441
1417,1,1,271.261,0,271.261,0,1,0.5
1418,21,64,3878.81,3039.79,2913.31,0.783692,0.751085,0.767388
1501,20,45,3870.64,3385.34,2471.39,0.87462,0.638497,0.756559
1502,3,10,615.236,415.498,406.615,0.675346,0.660908,0.668127
1503,2,4,495.488,743.233,480.943,1.5,0.970644,1.23532
1504,4,9,1264.9,1026.93,824.437,0.811864,0.651781,0.731822
1505,9,22,4150.26,5924.1,3731.18,1.4274,0.899022,1.16321
1506,12,23,4238.58,2527.43,3812.1,0.596291,0.899382,0.747837
1507,10,31,2982.8,2866.45,3461.86,0.960994,1.16061,1.0608
1509,6,16,4471.97,3071.97,1535.99,0.686939,0.34347,0.515204
1510,19,47,2742.97,2184.76,2777.58,0.796494,1.01262,0.904556
1511,22,64,4728.76,4709.44,5946.8,0.995914,1.25758,1.12675
1512,28,75,4918.42,4538.82,4781.24,0.92282,0.972108,0.947464
1513,20,48,5311.6,6039.4,5586.75,1.13702,1.0518,1.09441
1514,12,31,4931.88,4919.65,6005.82,0.99752,1.21775,1.10764
1523,1,2,664.764,332.382,664.764,0.5,1,0.75
1601,18,45,3846.81,2734.31,2842.16,0.710799,0.738838,0.724818
1602,26,77,5023.79,4952.38,5957.32,0.985785,1.18582,1.0858
1603,24,57,2376.56,2648.55,2620.87,1.11445,1.1028,1.10862
1604,17,37,4191.28,1556.08,2674.01,0.371267,0.637993,0.50463
1605,8,16,3175.42,3095.1,2897.91,0.974708,0.912607,0.943658
1606,6,12,1894.53,658.236,1093.98,0.34744,0.577438,0.462439
1607,17,52,6882.56,7052.54,6169.85,1.0247,0.896448,0.960573
1608,10,21,2417.7,1859.63,2795.56,0.769172,1.15629,0.96273
1609,10,28,1289.48,1338.61,1006.65,1.0381,0.78066,0.90938
1610,13,36,5148.1,7163.78,7773.92,1.39154,1.51006,1.4508
1611,15,38,3529.99,2194.4,2726.32,0.621645,0.772332,0.696988
1612,14,36,4462.7,3961.2,4928.74,0.887623,1.10443,0.996026
1613,12,38,3328.39,4034.73,3693.65,1.21222,1.10974,1.16098
1614,28,56,3498.25,3568.22,3450.41,1.02,0.986325,1.00316
1615,10,19,2343.89,1293.69,954.714,0.55194,0.40732,0.47963
1616,20,57,5113.95,3553.03,2283.56,0.694773,0.446537,0.570655
1617,7,18,3962.45,5264.65,4871.96,1.32863,1.22953,1.27908
1618,17,37,3837.13,4475.29,4273.73,1.16631,1.11378,1.14005
1619,12,30,3995.35,2417.2,3605.17,0.605004,0.902343,0.753673
1620,18,44,3136.12,2380.21,2163.72,0.758967,0.689935,0.724451
1621,3,8,1578.44,1134.72,1134.72,0.718887,0.718887,0.718887
1622,10,27,3393.74,2542.69,2840.86,0.74923,0.837089,0.793159
1623,8,13,3501.98,0,499.391,0,0.142602,0.0713011
1625,4,10,3193.63,2450,2450,0.767152,0.767152,0.767152
1630,10,18,2600.39,2612.39,1448.98,1.00461,0.557214,0.780914
1631,3,4,824.49,630.52,647.527,0.76474,0.785367,0.775053
1632,6,16,1900.17,1585.36,1585.36,0.834323,0.834323,0.834323
1633,6,12,680.067,758.342,743.507,1.1151,1.09329,1.10419
1634,3,13,520.366,573.432,744.624,1.10198,1.43096,1.26647
1635,5,14,2792.02,7752.84,6665.43,2.77679,2.38732,2.58205
1636,3,7,1600.32,662.438,868.254,0.413941,0.542551,0.478246
1639,4,6,841.038,0,118.204,0,0.140545,0.0702726
1641,1,4,996.759,996.759,1245.95,1,1.25,1.125
1702,6,12,1671.56,958.808,1035.41,0.5736,0.619424,0.596512
1703,1,3,945.273,1890.55,1890.55,2,2,2
1704,3,4,615.873,312.403,496.854,0.507252,0.806747,0.656999
1705,6,14,2733.81,4641.68,4312.29,1.69788,1.57739,1.63764
1706,8,13,1198.92,1305.36,915.151,1.08878,0.763311,0.926045
1707,22,49,2226,2184.47,1882.64,0.981341,0.845751,0.913546
1708,11,29,616.432,563.445,539.448,0.914043,0.875115,0.894579
1710,23,63,2860.58,2640.18,2525.97,0.922954,0.883028,0.902991
1711,2,10,3024.09,2409.15,2726.75,0.796653,0.901673,0.849163
1712,8,18,1729.46,1347.16,883.079,0.778944,0.510609,0.644776
1713,6,20,1161.23,1637.36,1423.97,1.41002,1.22627,1.31814
1714,10,33,1699.26,1973.8,1766.92,1.16157,1.03982,1.10069
1715,36,74,3302.71,3299.08,2623,0.998901,0.794196,0.896548
1716,6,15,2379.33,2508.77,2793.95,1.0544,1.17426,1.11433
1717,8,23,7014.98,8530.77,8123.18,1.21608,1.15798,1.18703
1719,1,5,585.4,819.56,819.56,1.4,1.4,1.4
1721,3,12,665.449,1003.87,940.651,1.50856,1.41356,1.46106
1722,1,3,815.761,1903.44,1631.52,2.33333,2,2.16667
1723,4,11,1033.16,1169.02,1102.4,1.1315,1.06702,1.09926
1724,4,7,944.771,1275,827.942,1.34953,0.876342,1.11294
1725,7,21,1569.18,1323.4,1256.45,0.843372,0.800707,0.82204
1727,2,5,1750,1400,700,0.8,0.4,0.6
1729,7,15,1926.16,2015.83,1735.55,1.04655,0.901043,0.973799
1730,1,2,626.912,0,0,0,0,0
1731,8,26,991.658,729.425,843.337,0.735561,0.850431,0.792996
1732,3,8,1720.89,2926.85,1198.35,1.70078,0.696358,1.19857
1733,14,42,1344.86,1058.64,1093.83,0.787174,0.813339,0.800257
1734,4,11,1254.74,1421.49,1301.32,1.1329,1.03713,1.08501
1735,3,13,1243.4,978.504,1607.91,0.786961,1.29316,1.04006
1736,8,15,2568.49,409.925,2918.54,0.159598,1.13629,0.647942
1737,13,36,1225.47,1294.74,843.808,1.05652,0.688556,0.87254
1738,11,26,1058.2,1230.23,1579.71,1.16258,1.49283,1.3277
1739,4,7,1335.47,912.485,1162.23,0.683267,0.870275,0.776771
1741,5,8,408.556,549.005,481.179,1.34377,1.17776,1.26076
1744,4,17,1041.29,1419.13,1121.43,1.36285,1.07696,1.2199
1745,11,34,1157.46,1502.2,1487.95,1.29785,1.28554,1.29169
1746,2,5,1043.1,820.909,1231.36,0.786987,1.18048,0.983734
1747,3,5,539.674,293.317,203.901,0.543508,0.377822,0.460665
1748,2,10,613.871,1606.63,1697.71,2.61721,2.76559,2.6914
1749,5,15,919.592,1574.62,868.117,1.71231,0.944023,1.32817
1750,9,31,1021.17,1437.17,1375.42,1.40737,1.34691,1.37714
1803,7,15,1384.23,1447.47,1445.67,1.04569,1.04438,1.04504
1804,25,43,2787.42,2061.15,2379.68,0.739447,0.853721,0.796584
1805,19,37,3710.94,4144.4,3248.9,1.1168,0.875492,0.996148
1806,14,40,7278.49,12299.5,7985.1,1.68985,1.09708,1.39346
1807,4,6,1280.04,1363.86,1496.95,1.06548,1.16945,1.11747
1817,9,24,8217.54,7700,7350,0.937021,0.894429,0.915725
1901,3,7,2450,700,2100,0.285714,0.857143,0.571429
1902,24,112,30274.8,22020,20832.7,0.727338,0.68812,0.707729
1903,4,19,6432.13,6782.13,2932.13,1.05441,0.455857,0.755136
1904,6,33,10633.9,9151.28,7091.92,0.860573,0.666914,0.763744
1905,2,11,2803.96,2103.96,2103.96,0.750353,0.750353,0.750353
1906,3,14,4900,3150,2800,0.642857,0.571429,0.607143
1907,3,14,4115.62,3415.62,3415.62,0.829916,0.829916,0.829916
1908,3,10,3500,1750,1050,0.5,0.3,0.4
1909,16,67,17471.7,8265.59,8603.38,0.473084,0.492418,0.482751
1911,6,23,8050,700,4900,0.0869565,0.608696,0.347826
1912,7,27,9450,7350,6300,0.777778,0.666667,0.722222
1913,5,19,5179.54,2659.85,3114.77,0.513529,0.60136,0.557445
1914,4,16,5600,5950,3850,1.0625,0.6875,0.875
