TAZ,bus_nontransfer,bus_transfer,metronit_nontransfer,metronit_transfer,bus_all,metronit_all,transit_nontransfer,transit_all
1518,507.429,86.643,188.357,30.667,594.071,219.024,695.786,813.095
1519,44.571,0.095,0.000,0.000,44.667,0.000,44.571,44.667
1520,39.048,0.905,11.548,0.310,39.952,11.857,50.595,51.810
1521,4.214,0.000,0.000,0.000,4.214,0.000,4.214,4.214
1523,78.286,1.452,0.000,0.000,79.738,0.000,78.286,79.738
1524,7.548,0.190,0.000,0.000,7.738,0.000,7.548,7.738
1601,251.738,12.881,0.000,0.000,264.619,0.000,251.738,264.619
1602,218.714,5.095,0.000,0.000,223.810,0.000,218.714,223.810
1603,101.571,3.524,0.000,0.000,105.095,0.000,101.571,105.095
1604,227.381,2.071,0.000,0.000,229.452,0.000,227.381,229.452
1605,163.429,1.310,0.000,0.000,164.738,0.000,163.429,164.738
1606,110.500,4.000,0.000,0.000,114.500,0.000,110.500,114.500
1607,188.000,1.167,0.000,0.000,189.167,0.000,188.000,189.167
1608,556.714,103.024,0.000,0.000,659.738,0.000,556.714,659.738
1609,11.881,1.071,0.000,0.000,12.952,0.000,11.881,12.952
1610,101.810,0.095,0.000,0.000,101.905,0.000,101.810,101.905
1611,214.333,5.190,0.000,0.000,219.524,0.000,214.333,219.524
1612,55.595,0.857,0.000,0.000,56.452,0.000,55.595,56.452
1613,119.048,0.405,0.000,0.000,119.452,0.000,119.048,119.452
1614,327.929,13.095,0.000,0.000,341.024,0.000,327.929,341.024
1615,250.190,20.143,0.000,0.000,270.333,0.000,250.190,270.333
1616,580.976,55.190,0.000,0.000,636.167,0.000,580.976,636.167
1617,65.476,0.857,0.000,0.000,66.333,0.000,65.476,66.333
1618,289.476,4.810,0.000,0.000,294.286,0.000,289.476,294.286
1619,109.262,2.214,0.000,0.000,111.476,0.000,109.262,111.476
1620,190.381,5.429,0.000,0.000,195.810,0.000,190.381,195.810
1621,72.714,1.429,0.000,0.000,74.143,0.000,72.714,74.143
1622,200.595,29.786,0.000,0.000,230.381,0.000,200.595,230.381
1623,78.738,5.238,0.000,0.000,83.976,0.000,78.738,83.976
1624,81.286,11.071,0.000,0.000,92.357,0.000,81.286,92.357
1625,155.452,9.548,0.000,0.000,165.000,0.000,155.452,165.000
1626,51.000,0.214,0.000,0.000,51.214,0.000,51.000,51.214
1630,534.571,47.238,0.000,0.000,581.810,0.000,534.571,581.810
1631,169.214,9.976,0.000,0.000,179.190,0.000,169.214,179.190
1632,166.548,5.119,0.000,0.000,171.667,0.000,166.548,171.667
1634,73.357,8.310,0.000,0.000,81.667,0.000,73.357,81.667
1635,90.167,1.310,0.000,0.000,91.476,0.000,90.167,91.476
1636,26.976,0.405,0.000,0.000,27.381,0.000,26.976,27.381
1639,25.786,1.405,0.000,0.000,27.190,0.000,25.786,27.190
1641,180.929,18.929,0.000,0.000,199.857,0.000,180.929,199.857
1701,1.429,0.071,0.000,0.000,1.500,0.000,1.429,1.500
1702,259.690,2.595,0.000,0.000,262.286,0.000,259.690,262.286
1703,141.667,2.524,0.000,0.000,144.190,0.000,141.667,144.190
1704,287.167,8.786,0.000,0.000,295.952,0.000,287.167,295.952
1705,220.810,3.405,0.000,0.000,224.214,0.000,220.810,224.214
1706,426.214,6.405,0.000,0.000,432.619,0.000,426.214,432.619
1707,170.214,4.000,0.000,0.000,174.214,0.000,170.214,174.214
1708,144.381,1.286,0.000,0.000,145.667,0.000,144.381,145.667
1709,149.310,20.190,138.357,18.452,169.500,156.810,287.667,326.310
1710,168.048,7.619,0.000,0.000,175.667,0.000,168.048,175.667
1711,284.881,24.190,247.119,26.643,309.071,273.762,532.000,582.833
1712,143.738,3.333,0.000,0.000,147.071,0.000,143.738,147.071
1713,97.429,1.333,0.000,0.000,98.762,0.000,97.429,98.762
1714,74.595,0.929,0.000,0.000,75.524,0.000,74.595,75.524
1715,194.000,2.000,0.000,0.000,196.000,0.000,194.000,196.000
1716,327.214,21.786,0.000,0.000,349.000,0.000,327.214,349.000
1717,27.333,0.405,0.000,0.000,27.738,0.000,27.333,27.738
1718,345.238,4.333,0.000,0.000,349.571,0.000,345.238,349.571
1719,19.667,0.143,0.000,0.000,19.810,0.000,19.667,19.810
1720,37.905,1.762,0.000,0.000,39.667,0.000,37.905,39.667
1721,8.071,0.143,0.000,0.000,8.214,0.000,8.071,8.214
1723,123.333,4.738,24.214,1.357,128.071,25.571,147.548,153.643
1724,3.238,0.000,0.000,0.000,3.238,0.000,3.238,3.238
1725,156.048,2.595,0.000,0.000,158.643,0.000,156.048,158.643
1726,39.857,2.452,353.952,48.619,42.310,402.571,393.810,444.881
1727,101.881,4.524,0.000,0.000,106.405,0.000,101.881,106.405
1728,31.357,1.048,0.000,0.000,32.405,0.000,31.357,32.405
1729,54.762,0.310,0.000,0.000,55.071,0.000,54.762,55.071
1730,118.714,1.476,0.000,0.000,120.190,0.000,118.714,120.190
1731,4.310,0.000,0.000,0.000,4.310,0.000,4.310,4.310
1732,85.000,0.571,0.000,0.000,85.571,0.000,85.000,85.571
1733,9.095,0.071,0.000,0.000,9.167,0.000,9.095,9.167
1734,214.500,3.643,0.000,0.000,218.143,0.000,214.500,218.143
1735,4.071,0.024,0.000,0.000,4.095,0.000,4.071,4.095
1736,22.476,0.048,0.000,0.000,22.524,0.000,22.476,22.524
1737,74.000,1.214,0.000,0.000,75.214,0.000,74.000,75.214
1738,44.905,0.310,0.000,0.000,45.214,0.000,44.905,45.214
1739,435.881,34.048,0.000,0.000,469.929,0.000,435.881,469.929
1740,385.310,25.905,0.000,0.000,411.214,0.000,385.310,411.214
1741,53.095,0.405,0.000,0.000,53.500,0.000,53.095,53.500
1742,179.690,22.905,0.000,0.000,202.595,0.000,179.690,202.595
1743,18.143,0.024,0.000,0.000,18.167,0.000,18.143,18.167
1744,10.619,0.429,0.000,0.000,11.048,0.000,10.619,11.048
1745,277.238,16.619,0.000,0.000,293.857,0.000,277.238,293.857
1746,83.524,1.881,0.000,0.000,85.405,0.000,83.524,85.405
1747,77.000,1.667,0.000,0.000,78.667,0.000,77.000,78.667
1748,73.857,2.381,0.000,0.000,76.238,0.000,73.857,76.238
1749,34.881,0.429,0.000,0.000,35.310,0.000,34.881,35.310
1750,21.119,0.333,0.000,0.000,21.452,0.000,21.119,21.452
1803,128.952,3.167,0.000,0.000,132.119,0.000,128.952,132.119
1804,201.238,1.143,0.000,0.000,202.381,0.000,201.238,202.381
1805,305.262,4.857,0.000,0.000,310.119,0.000,305.262,310.119
1806,158.143,3.286,0.000,0.000,161.429,0.000,158.143,161.429
1807,84.167,0.214,0.000,0.000,84.381,0.000,84.167,84.381
1808,0.190,0.024,0.000,0.000,0.214,0.000,0.190,0.214
1809,27.238,1.143,41.643,2.024,28.381,43.667,68.881,72.048
1810,5.286,0.262,0.000,0.000,5.548,0.000,5.286,5.548
1812,29.976,3.262,31.286,2.619,33.238,33.905,61.262,67.143
1813,15.452,1.524,10.452,0.595,16.976,11.048,25.905,28.024
1814,1.381,0.024,0.000,0.000,1.405,0.000,1.381,1.405
1815,22.929,1.071,32.476,1.048,24.000,33.524,55.405,57.524
1816,105.500,3.452,52.000,2.381,108.952,54.381,157.500,163.333
1817,62.857,0.595,0.000,0.000,63.452,0.000,62.857,63.452
1901,0.071,0.000,0.000,0.000,0.071,0.000,0.071,0.071
1902,36.714,0.000,0.000,0.000,36.714,0.000,36.714,36.714
1903,103.000,0.833,0.000,0.000,103.833,0.000,103.000,103.833
1904,16.500,0.071,0.000,0.000,16.571,0.000,16.500,16.571
1905,118.214,0.714,0.000,0.000,118.929,0.000,118.214,118.929
1906,14.476,0.095,0.000,0.000,14.571,0.000,14.476,14.571
1907,70.048,0.071,0.000,0.000,70.119,0.000,70.048,70.119
1908,160.024,0.952,0.000,0.000,160.976,0.000,160.024,160.976
1909,183.476,10.500,0.000,0.000,193.976,0.000,183.476,193.976
1910,43.905,0.452,0.000,0.000,44.357,0.000,43.905,44.357
1911,58.881,0.167,0.000,0.000,59.048,0.000,58.881,59.048
1912,8.643,0.024,0.000,0.000,8.667,0.000,8.643,8.667
1913,47.571,0.167,0.000,0.000,47.738,0.000,47.571,47.738
1914,141.452,0.452,0.000,0.000,141.905,0.000,141.452,141.905
1915,11.786,0.000,0.000,0.000,11.786,0.000,11.786,11.786
1916,67.619,0.643,0.000,0.000,68.262,0.000,67.619,68.262
1917,259.048,2.119,0.000,0.000,261.167,0.000,259.048,261.167
1918,57.429,0.095,0.000,0.000,57.524,0.000,57.429,57.524
1919,60.738,0.071,0.000,0.000,60.810,0.000,60.738,60.810
1920,1.952,0.000,0.000,0.000,1.952,0.000,1.952,1.952
1921,63.357,0.786,0.000,0.000,64.143,0.000,63.357,64.143
1922,79.071,0.143,0.000,0.000,79.214,0.000,79.071,79.214
1923,86.238,0.857,0.000,0.000,87.095,0.000,86.238,87.095
