ClusterName,StopCode,Lat,Long,StopName,TAZ
קווי נצרת – שאמ,53989,32.697855,35.317903,"בי""ס שרת/יזרעאל",2007.000000
קווי נצרת – שאמ,53994,32.698276,35.319903,תירוש/ברוש,2007.000000
קווי נצרת – שאמ,53995,32.697824,35.320101,תירוש/ברוש,2004.000000
קווי נצרת – שאמ,54000,32.698462,35.321689,הלולב/הערבה,2004.000000
קווי נצרת – שאמ,54001,32.705378,35.321802,מנחם אריאב/הצבר,2008.000000
קווי נצרת – שאמ,55229,32.691275,35.314854,תיבות דואר/החצב,2011.000000
קווי נצרת – שאמ,55234,32.693351,35.298731,זיאד/ כביש 75,1932.000000
קווי נצרת - נסיעות ותיירות,55234,32.693351,35.298731,זיאד/ כביש 75,1932.000000
קווי נצרת - נסיעות ותיירות,50233,32.724334,35.220568,צומת גבעת אלה,2102.000000
קווי נצרת – שאמ,54006,32.703350,35.323920,איזור תעשייה ב,2004.000000
קווי נצרת – שאמ,54009,32.708643,35.324745,מרכז רסקו,2003.000000
קווי נצרת - נסיעות ותיירות,56324,32.846149,35.337717,אלבטוף/אנאסר,3011.000000
קווי נצרת – שאמ,55248,32.701401,35.312973,עירייה/אריאב,2010.000000
קווי נצרת - נסיעות ותיירות,56327,32.848813,35.336465,ע.נסאר/עלי אלסח,3010.000000
קווי נצרת - נסיעות ותיירות,56328,32.848889,35.334236,אלמוכתאר/אלפראבי,3011.000000
קווי נצרת - נסיעות ותיירות,56331,32.849640,35.331878,אלסלאם/אלאסתקלאל,3012.000000
קווי נצרת - נסיעות ותיירות,56332,32.850051,35.332240,אלאסתקלאל,3012.000000
קווי נצרת – שאמ,55249,32.698413,35.312086,ק.מבנה/חטיבות,2009.000000
חיפה עירוני,43092,32.808136,35.001548,שוק תלפיות,1408.000000
קווי נצרת – שאמ,56346,32.702060,35.290481,"בי""ס לסיעוד",1925.000000
קווי נצרת – שאמ,56349,32.716227,35.291648,סלימאן/ג'מאל,1924.000000
מרחב נצרת ג'י.בי טורס,54014,32.734665,35.325195,צומת משהד,1917.000000
קווי נצרת – שאמ,54014,32.734543,35.325246,צומת משהד,1917.000000
קווי נצרת - נסיעות ותיירות,54014,32.734543,35.325246,צומת משהד,1917.000000
הגליל,56452,32.852284,35.196847,אלביק,412.000000
קווי נצרת – שאמ,56739,32.698515,35.312115,קניון מבנה,2010.000000
קווי נצרת - נסיעות ותיירות,46904,32.550693,35.163932,מסעף משירפה,3806.000000
קווי נצרת - נסיעות ותיירות,46906,32.539715,35.154194,מסעף מוסמוס,3802.000000
קווי נצרת – שאמ,56350,32.714115,35.294270,אל-ג'מאל/מלטה,1924.000000
קווי נצרת – שאמ,54016,32.735476,35.326209,צומת משהד,1917.000000
מרחב נצרת ג'י.בי טורס,54016,32.735476,35.326209,צומת משהד,1917.000000
קווי נצרת – שאמ,55256,32.708309,35.334576,אורט יגאל אלון,2001.000000
קווי נצרת – שאמ,54017,32.703789,35.326836,גלעד/ירדן,2004.000000
קווי נצרת – שאמ,56355,32.703717,35.309914,"בי""ח איטלקי",1909.000000
קווי נצרת – שאמ,55258,32.704923,35.316700,כרמל/גלבוע,2002.000000
קווי נצרת – שאמ,54019,32.700913,35.329355,דרך הגליל/גלעד,2004.000000
קווי נצרת – שאמ,54021,32.704085,35.328511,עמותה למען הקשיש,2004.000000
קווי נצרת - נסיעות ותיירות,47051,32.712090,35.125828,צומת קרית טבעון,2204.000000
מרחב נצרת ג'י.בי טורס,47051,32.712090,35.125847,צומת קרית טבעון,2204.000000
קווי נצרת – שאמ,54022,32.704009,35.328646,עמותה למען הקשיש,2004.000000
קווי נצרת – שאמ,54027,32.730752,35.331081,גן ילדים/רותם,2012.000000
קווי נצרת – שאמ,55297,32.708487,35.313957,מלון פלאזה/כרמל,2002.000000
קווי נצרת – שאמ,55419,32.705958,35.301729,מעיין מרים,1929.000000
קווי נצרת – שאמ,55485,32.703014,35.299550,ציר הצליינים,1928.000000
קווי נצרת - נסיעות ותיירות,54028,32.855788,35.329992,עראבה ה'/יציאה,3012.000000
קווי נצרת – שאמ,54029,32.707947,35.332077,מנחם אריאב/הגיא,2003.000000
קווי נצרת – שאמ,54030,32.728137,35.332223,דליה/הגומא,2012.000000
קווי נצרת – שאמ,54031,32.730556,35.332333,כרכום/מעלה יצחק,2012.000000
קווי נצרת – שאמ,54034,32.722201,35.334405,אגמון/עטרה,2005.000000
מרחב נצרת ג'י.בי טורס,54036,32.741653,35.334575,מעל המעיין,1917.000000
קווי נצרת - נסיעות ותיירות,54037,32.742393,35.334951,מעל המעיין,1917.000000
קווי נצרת - נסיעות ותיירות,54038,32.856338,35.335124,אלמרוש,3012.000000
קווי נצרת – שאמ,55260,32.702054,35.310727,ק.הממשלה/הציונות,2010.000000
קווי נצרת – שאמ,56381,32.704591,35.312568,ביטוח לאומי,1909.000000
קווי נצרת - נסיעות ותיירות,56399,32.725332,35.284633,כיכר אל-משארף,1924.000000
קווי נצרת – שאמ,56402,32.690928,35.291546,מגדלי נצרת,2013.000000
קווי נצרת – שאמ,55262,32.694930,35.304945,שוק/הציונות,2011.000000
הגליל,55289,32.792171,35.178649,שכונת סוועאד,423.000000
קווי נצרת – שאמ,55295,32.689815,35.291340,מגדלי נצרת,2013.000000
מטרונית חיפה,47181,32.830784,34.982937,ת. רכבת בת גלים,1503.000000
קווי נצרת - נסיעות ותיירות,54053,32.745158,35.338179,כפר כנא ו'/מעיין,1903.000000
מרחב נצרת ג'י.בי טורס,54075,32.753809,35.343700,"כפר כנא ב/חט""ב א",1903.000000
קווי נצרת - נסיעות ותיירות,54075,32.753809,35.343700,"כפר כנא ב/חט""ב א",1903.000000
קווי נצרת – שאמ,54100,32.717990,35.352581,עין מאהל/אלעבהרה,1919.000000
קווי נצרת – שאמ,54103,32.722193,35.354248,אלביאדר,1905.000000
קווי נצרת - נסיעות ותיירות,54129,32.889298,35.408163,"מרר/בי""ס יסודי ב",3506.000000
הגליל,58258,32.778397,35.221752,מ. פיס לגיל הזהב,1002.000000
קווי נצרת – שאמ,54042,32.724561,35.335937,"מתנ""ס הר יונה",2005.000000
הגליל,55299,32.794768,35.173685,ואדי אלסקיע,409.000000
קווי נצרת – שאמ,54048,32.715725,35.337456,"אזוה""ת/מעלה יצחק",2001.000000
קווי נצרת – שאמ,54050,32.718022,35.337724,מ.מסחרי/מע.יצחק,2001.000000
קווי נצרת - נסיעות ותיירות,55312,32.674077,35.290983,מחלף איכסאל,2107.000000
הגליל,55313,32.796711,35.171734,ו.אלסקיע/מ.דרויש,409.000000
מרחב נצרת ג'י.בי טורס,54051,32.745623,35.338040,כנסיה,1903.000000
קווי נצרת - נסיעות ותיירות,54051,32.745583,35.337936,כנסיה,1903.000000
הגליל,56438,32.862328,35.184448,אלזראעיה/ביסאן,415.000000
