PerID3,HHID,SurveyDay,placeno,o,d,share,w,comp,transit,new_wf,Age,age_grp,female,licence,HHnCars,licensed_drivers,car_seg,employed,student,paid_parking,sector,HHSIZE,purpose,mainmode,car_gc,bus_gc,brt_gc,bus_ivt,bus_walk,bus_wait,bus_transfers,car_ivt,tr_best_gc,has_brt,dGC,dGC_best,dist_km,band,w_norm,transit_lbl
3-24000035307-1,24000035307.00000,2,2,205,207,1.00000,109.36281,CAR,0,109.36281,27.00000,25-34,True,False,1.00000,1.00000,no_licence,True,False,False,general,3.00000,HBO,11,16.99000,13.63000,17.56000,6.93000,2.31000,1.03000,0.00000,16.99000,13.63000,1,-3.36000,-3.36000,2.62693,<3,1.89097,car
3-24000035307-1,24000035307.00000,2,3,207,210,0.65982,72.16008,CAR,0,109.36281,27.00000,25-34,True,False,1.00000,1.00000,no_licence,True,False,False,general,3.00000,NHB,11,15.92000,36.34000,36.95000,16.20000,8.87000,1.20000,0.00000,15.92000,36.34000,1,20.42000,20.42000,5.59090,3-6,1.24771,car
3-24000035307-2,24000035307.00000,1,2,205,207,1.00000,109.36281,CAR,0,109.36281,28.00000,25-34,False,True,1.00000,1.00000,car_available,True,True,False,general,3.00000,HBO,10,16.99000,13.63000,17.56000,6.93000,2.31000,1.03000,0.00000,16.99000,13.63000,1,-3.36000,-3.36000,2.62693,<3,1.89097,car
3-24000035307-2,24000035307.00000,1,3,207,210,0.65982,72.16008,CAR,0,109.36281,28.00000,25-34,False,True,1.00000,1.00000,car_available,True,True,False,general,3.00000,NHB,10,15.92000,36.34000,36.95000,16.20000,8.87000,1.20000,0.00000,15.92000,36.34000,1,20.42000,20.42000,5.59090,3-6,1.24771,car
3-24000035307-2,24000035307.00000,2,2,205,207,1.00000,109.36281,CAR,0,109.36281,28.00000,25-34,False,True,1.00000,1.00000,car_available,True,True,False,general,3.00000,HBO,10,16.99000,13.63000,17.56000,6.93000,2.31000,1.03000,0.00000,16.99000,13.63000,1,-3.36000,-3.36000,2.62693,<3,1.89097,car
3-24000035307-2,24000035307.00000,2,3,207,210,0.65982,72.16008,CAR,0,109.36281,28.00000,25-34,False,True,1.00000,1.00000,car_available,True,True,False,general,3.00000,NHB,10,15.92000,36.34000,36.95000,16.20000,8.87000,1.20000,0.00000,15.92000,36.34000,1,20.42000,20.42000,5.59090,3-6,1.24771,car
3-24000035307-3,24000035307.00000,1,2,205,207,1.00000,109.36281,CAR,0,109.36281,2.00000,0-17,False,False,1.00000,1.00000,no_licence,False,False,False,general,3.00000,HBO,11,16.99000,13.63000,17.56000,6.93000,2.31000,1.03000,0.00000,16.99000,13.63000,1,-3.36000,-3.36000,2.62693,<3,1.89097,car
3-24000035307-3,24000035307.00000,2,2,205,207,1.00000,109.36281,CAR,0,109.36281,2.00000,0-17,False,False,1.00000,1.00000,no_licence,False,False,False,general,3.00000,HBE,11,16.99000,13.63000,17.56000,6.93000,2.31000,1.03000,0.00000,16.99000,13.63000,1,-3.36000,-3.36000,2.62693,<3,1.89097,car
3-24000035752-1,24000035752.00000,2,2,204,202,0.00000,0.00000,BUS,1,83.16449,26.00000,25-34,True,True,2.00000,2.00000,car_available,True,False,False,general,3.00000,HBW,3,12.77000,18.53000,22.93000,8.12000,4.56000,0.64000,0.00000,12.77000,18.53000,1,5.76000,5.76000,3.48100,3-6,0.00000,transit
3-24000035958-2,24000035958.00000,1,2,204,202,1.00000,120.14040,BUS,1,120.14040,26.00000,25-34,True,False,0.00000,0.00000,no_car_hh,True,False,False,general,3.00000,HBW,3,12.77000,18.53000,22.93000,8.12000,4.56000,0.64000,0.00000,12.77000,18.53000,1,5.76000,5.76000,3.48100,3-6,2.07733,transit
3-24000035958-3,24000035958.00000,1,2,204,206,0.95646,114.90938,BUS,1,120.14040,17.00000,0-17,False,False,0.00000,0.00000,no_car_hh,False,True,False,general,3.00000,HBE,3,9.89000,17.76000,16.70000,7.92000,4.21000,0.71000,0.00000,9.89000,16.70000,1,7.87000,6.81000,2.20998,<3,1.98688,transit
3-24000035958-3,24000035958.00000,2,2,204,206,0.95646,114.90938,BUS,1,120.14040,17.00000,0-17,False,False,0.00000,0.00000,no_car_hh,False,True,False,general,3.00000,HBE,3,9.89000,17.76000,16.70000,7.92000,4.21000,0.71000,0.00000,9.89000,16.70000,1,7.87000,6.81000,2.20998,<3,1.98688,transit
3-24000036011-3,24000036011.00000,1,2,204,206,0.95646,87.35090,BUS,1,91.32737,11.00000,0-17,True,False,0.00000,1.00000,no_car_hh,False,False,False,general,5.00000,HBE,3,9.89000,17.76000,16.70000,7.92000,4.21000,0.71000,0.00000,9.89000,16.70000,1,7.87000,6.81000,2.20998,<3,1.51037,transit
3-24000036011-3,24000036011.00000,2,2,204,206,0.95646,87.35090,BUS,1,91.32737,11.00000,0-17,True,False,0.00000,1.00000,no_car_hh,False,False,False,general,5.00000,HBE,3,9.89000,17.76000,16.70000,7.92000,4.21000,0.71000,0.00000,9.89000,16.70000,1,7.87000,6.81000,2.20998,<3,1.51037,transit
3-24000036011-4,24000036011.00000,1,2,204,206,0.95646,87.35090,BUS,1,91.32737,6.00000,0-17,False,False,0.00000,1.00000,no_car_hh,False,False,False,general,5.00000,HBE,3,9.89000,17.76000,16.70000,7.92000,4.21000,0.71000,0.00000,9.89000,16.70000,1,7.87000,6.81000,2.20998,<3,1.51037,transit
3-24000036011-4,24000036011.00000,2,2,204,206,0.95646,87.35090,BUS,1,91.32737,6.00000,0-17,False,False,0.00000,1.00000,no_car_hh,False,False,False,general,5.00000,HBE,3,9.89000,17.76000,16.70000,7.92000,4.21000,0.71000,0.00000,9.89000,16.70000,1,7.87000,6.81000,2.20998,<3,1.51037,transit
3-24000036755-1,24000036755.00000,2,2,202,210,0.00000,0.00000,BUS,1,269.93144,38.00000,35-64,False,True,1.00000,2.00000,competition,True,False,False,general,8.00000,HBW,3,20.06000,54.59000,36.24000,32.14000,10.45000,0.77000,0.00000,20.06000,36.24000,1,34.53000,16.18000,7.02822,6-10,0.00000,transit
3-24000036755-2,24000036755.00000,1,6,207,206,1.00000,269.93144,CAR,0,269.93144,36.00000,35-64,True,True,1.00000,2.00000,competition,True,False,False,general,8.00000,NHB,10,10.11000,10.55000,12.89000,1.74000,4.00000,0.41000,0.00000,10.11000,10.55000,1,0.44000,0.44000,1.17370,<3,4.66734,car
3-24000036755-5,24000036755.00000,2,2,202,207,0.00000,0.00000,BUS,1,269.93144,12.00000,0-17,False,False,1.00000,2.00000,no_licence,False,False,False,general,8.00000,HBE,3,15.33000,34.90000,30.93000,23.36000,4.77000,1.00000,0.00000,15.33000,30.93000,1,19.57000,15.60000,4.42872,3-6,0.00000,transit
3-24000036755-6,24000036755.00000,2,2,202,207,0.00000,0.00000,BUS,1,269.93144,9.00000,0-17,True,False,1.00000,2.00000,no_licence,False,False,False,general,8.00000,HBE,3,15.33000,34.90000,30.93000,23.36000,4.77000,1.00000,0.00000,15.33000,30.93000,1,19.57000,15.60000,4.42872,3-6,0.00000,transit
