stop_id,stop_code,stop_name,x,y,TAZ
1420,40486,דרך פיק''א/שלומציון המלכה,197212.8,707998.8,3918
1421,40488,דרך פיק''א/שלומציון המלכה,197287.6,708080.7,3917
1422,40489,דרך למרחב/הבוטנים,197271.2,708808.5,3917
1424,40494,דרך למרחב/המעלה,197432.5,708877.1,3917
1426,40497,פרדס חנה כרכור,197473.6,706475.1,3917
1427,40498,פרדס חנה כרכור,197466.4,706499.9,3917
1432,40504,דרך למרחב/המעלה,197456.1,708914.6,3919
1433,40505,העצמאות/מנדלי מוכר ספרים,210076.9,745984.8,903
1435,40507,זבולון/התעלה,209549.8,745557.5,909
1436,40508,זבולון/קרית פרוסטיג,209236.5,745511.5,909
1437,40509,זבולון/שיבת ציון,208981.8,745474.8,909
1438,40510,פיק''א/הבוטנים,197585.9,708375.7,3917
1440,40512,זבולון/אנדרטת לחי,207864.1,745332.6,905
1441,40513,פיק''א/הבוטנים,197674.8,708424.4,3917
1446,40518,דרך חיפה/זבולון,207361.2,745452.6,905
1447,40519,יד לבנים/דרך הבנים,197740.1,709019.2,3917
1448,40520,זבולון/קק''ל,208122.2,745347.2,915
1449,40521,יד לבנים/דרך הבנים,197788.1,709025.2,3917
1450,40522,פרדס חנה כרכור,197809.0,706548.7,3917
1456,40528,בית ספר אלונים/הבנים,197944.8,709093.7,3917
1457,40529,בית ספר ארצי לשוטרים,211810.7,747428.2,914
1460,40533,דרך הנדיב/דרך הבנים,197995.7,709171.6,3919
1461,40534,קריון דרום/ד.עכו חיפה,208587.8,749700.3,605
1467,40541,בי''ס חקלאי,198126.2,708673.2,3917
1469,40543,אורט ביאליק/שדרות ההסתדרות,207331.7,746737.0,809
1470,40544,דרך פיק''א/יהודה הלוי,198128.7,708663.1,3917
1471,40545,דרך הנדיב/דרך פיק''א,198181.4,708798.6,3917
1475,40550,דרך הבנים/דרך משמרות,198647.7,709164.9,3919
1476,40551,שדרות נילי/החלוצים,194999.0,719558.5,2503
1478,40553,שער העמקים,210754.4,736324.9,2207
1479,40554,שער העמקים,210828.8,736331.1,2207
1480,40555,מחלף חנה/מחנה 80,198901.1,707179.5,3917
1482,40557,מחלף חנה/מחנה 80,198772.0,707059.1,3917
1485,40561,דרך עירון/המייסדים,199334.6,708155.2,4002
1488,40565,ד''ר דן ויליאם ג'אוי/שד. מינסוטה,189487.8,704439.6,4016
1489,40566,צומת עמיקם,199495.6,713759.9,3903
1491,40569,המייסדים/דרך הבנים,199348.6,709000.5,3916
1492,40570,הרימון/התאנה,199366.4,715401.8,3901
1493,40572,הגפן/הזית,199584.0,715076.7,3901
1495,40575,צומת כרכור,199590.5,707851.9,4002
1496,40576,החלוץ/מלכי ישראל,189644.9,704488.6,4016
1497,40578,מגרש ספורט,199614.5,701215.8,4022
1498,40579,התאנה/הברושים,199663.1,715625.1,3901
1499,40580,התאנה/הברושים,199650.8,715613.8,3901
1500,40581,הגפן/הרימון,199770.3,715111.8,3901
1501,40582,צומת מנשה,199717.5,707842.7,4002
1504,40586,הערבה/הפיקוס,199871.0,701101.5,4022
1506,40588,האורנים/הגבעה,199928.1,714143.6,3903
1507,40589,'גן שומרון ג,199917.3,707682.0,4002
1510,40592,'גן שומרון ד,199998.4,707579.3,4002
1515,40598,צומת עין שמר,200304.0,707340.4,4002
1516,40599,התירוש גבעת עדה/סמדר גבעת עדה,200288.2,713786.6,3903
1517,40601,צומת עין שמר,200354.6,707285.6,4002
1522,40607,גפן/אגוז,200791.8,703358.9,4022
1523,40608,הדקל/רחוב חי,200590.1,713545.8,3903
1525,40610,הדקל/רחוב חי,200613.3,713518.5,3903
1527,40612,רחוב חי/היסמין גבעת עדה,200707.3,713548.2,3903
1528,40613,מזכירות,200665.0,712490.8,3902
1530,40615,צומת שדה יצחק,200740.6,700377.3,4022
1531,40616,חי/הלבונה,200779.8,713591.3,3903
