stop_a,stop_b,routed_m,straight_m,covered_m,observed_min,n_trips,flag
1333,17462,1015.82,489.04,1015.82,3.29,3,ok
1334,1358,509.42,502.95,509.42,1.50,22,ok
1334,17269,476.48,412.62,476.48,1.15,2,ok
1336,1363,292.97,266.84,292.97,0.71,37,ok_undirected
1340,1348,473.36,459.37,473.36,1.30,28,ok
1340,1358,558.60,414.21,558.60,1.68,14,ok
1340,1396,654.00,411.60,654.00,1.71,1,ok
1340,17269,525.65,509.48,525.65,1.33,4,ok
1345,17233,133.29,140.81,133.29,0.35,36,ok
1348,1695,238.66,178.67,238.66,1.37,3,ok
1348,2876,277.50,222.51,277.50,1.77,25,ok
1350,3142,284.25,262.97,284.25,0.72,42,ok
1354,4043,124.68,173.86,124.68,0.37,36,ok
1355,1318,279.53,256.95,279.53,0.69,31,ok_undirected
1355,3395,230.19,220.18,230.19,0.60,9,ok
1358,1688,619.91,554.35,619.91,1.53,23,ok
1358,3832,423.48,340.13,423.48,1.10,17,ok
1358,50064,753.90,436.89,753.90,1.78,3,ok
1359,1340,453.59,342.44,453.59,1.28,28,ok
1359,17269,731.32,577.39,731.32,1.71,5,ok
1359,2872,351.53,162.04,351.53,0.89,6,ok
1360,16955,1241.39,1065.04,1241.39,3.25,2,ok
1360,17212,279.03,237.12,279.03,0.84,40,ok
1361,1333,547.30,369.44,547.30,0.84,23,ok
1363,1388,282.61,207.68,271.10,0.65,37,ok_undirected
1364,1704,887.41,746.28,887.41,1.86,62,ok
1364,4035,1395.71,745.42,1395.71,2.75,4,ok
1365,1125,5163.73,4385.13,5163.73,4.33,1,ok_undirected
1365,1228,4115.95,2372.25,4115.95,6.26,1,ok
1365,1256,1330.61,1248.10,1330.61,1.38,84,ok
1365,1636,8396.72,6190.09,8396.72,16.90,4,ok
1365,3216,5279.98,4550.64,5279.98,5.34,15,ok_undirected
1365,48297,1998.14,1756.74,1998.14,2.34,8,ok
1367,1375,944.03,992.62,944.03,1.27,18,ok
1372,1402,487.02,470.74,487.02,0.63,22,ok
1372,1403,568.54,571.82,568.54,0.63,44,ok
1372,1482,2760.35,2743.75,2760.35,2.25,7,ok
1372,38578,2761.22,2398.08,2761.22,4.90,2,ok
1372,4122,4097.86,3995.45,4097.86,3.41,2,ok
1373,1361,747.54,823.51,747.54,0.81,2,ok
1373,1379,179.54,255.15,179.54,0.18,21,ok
1373,1707,3239.64,3166.14,3239.64,4.33,7,ok
1375,1384,804.04,749.63,804.04,1.60,26,ok
1376,35839,2860.89,2843.39,2860.89,4.07,35,ok
1379,1361,568.01,576.63,568.01,0.63,21,ok
1380,2730,311.47,303.06,311.47,0.66,37,ok
1381,16926,5798.25,5583.64,4255.31,4.76,3,ok
1381,17244,4382.87,4247.57,4382.87,3.82,8,ok
1384,1359,663.77,552.17,663.77,1.66,23,ok
1384,1687,465.17,280.08,465.17,1.04,2,ok
1384,35087,580.74,361.31,580.74,1.30,1,ok
1384,3832,224.08,245.22,224.08,0.50,5,ok
1384,50064,554.50,497.54,554.50,1.18,3,ok
1388,17228,262.88,250.27,262.88,0.64,37,ok
1391,1355,282.45,298.35,282.45,0.62,40,ok
1391,2729,192.48,200.98,192.48,0.44,25,ok
1392,2265,320.02,220.63,320.02,0.84,26,ok
1394,16996,1480.39,973.57,1480.39,2.52,22,ok
1395,1396,104.66,197.00,104.66,0.48,8,ok_undirected
1396,1340,654.00,411.60,654.00,2.01,3,ok_undirected
1396,17269,1404.64,799.81,1404.64,5.51,6,ok
1397,1365,489.25,485.39,489.25,0.46,93,ok
1398,1391,356.29,263.03,356.29,0.82,63,ok
1402,1405,415.25,396.89,415.25,0.55,22,ok
1403,1482,2191.81,2172.03,2191.81,1.62,46,ok
1404,1397,504.51,450.71,504.51,0.75,39,ok
1405,1413,589.29,572.44,589.29,0.75,22,ok
1409,1411,193.40,116.19,193.40,0.61,14,ok
1409,2335,267.67,217.15,267.67,0.90,23,ok
1410,1417,459.03,397.58,459.03,1.07,40,ok
1411,1420,408.54,324.00,408.54,1.09,14,ok
1412,1404,589.29,668.10,589.29,0.82,39,ok
1413,1421,976.17,960.66,976.17,1.75,17,ok
1413,43598,985.52,917.05,985.52,1.77,5,ok
1417,1424,198.78,229.87,198.78,0.50,70,ok
1417,3027,66.56,108.17,0.00,0.27,3,no_coverage
1420,1412,905.48,864.41,905.48,1.01,39,ok
1421,1441,524.00,517.74,524.00,0.99,24,ok
1422,1398,634.76,620.50,634.76,1.25,50,ok_undirected
1422,51626,601.05,432.99,601.05,1.31,16,ok_undirected
1424,1449,388.10,385.21,388.10,1.02,70,ok
1432,1422,198.78,213.18,198.78,0.50,66,ok_undirected
1433,3920,371.42,378.53,371.42,1.01,48,ok_undirected
1435,1436,311.83,316.66,311.83,0.53,98,ok_undirected
1436,1437,1946.84,257.33,1946.84,4.46,97,ok
1436,39242,2018.06,145.76,2018.06,4.64,1,ok
1437,3101,802.91,515.80,802.91,1.93,1,ok
1437,3910,344.07,252.83,333.38,0.62,97,ok_undirected
1437,3918,1764.87,1573.09,1764.87,3.14,20,ok
1438,1420,600.85,530.34,600.85,0.99,25,ok
1438,17479,655.04,462.97,655.04,1.11,7,ok
1440,3830,487.07,479.35,487.07,0.69,5,ok_undirected
1440,3918,521.77,448.71,497.78,0.78,62,ok_undirected
1441,1470,605.94,512.84,605.94,1.68,24,ok
1446,1448,933.42,768.26,933.42,1.45,8,ok
1446,3830,197.52,232.24,197.52,0.39,1,ok
1446,3911,347.24,282.65,347.24,0.61,61,ok
1447,1432,325.66,302.65,325.66,0.85,66,ok_undirected
1447,1449,62.45,48.37,62.45,0.16,4,ok
1448,3909,305.00,293.19,305.00,0.54,86,ok
1448,3921,1874.38,1847.92,1874.38,3.81,8,ok
1449,1460,353.07,254.03,353.07,0.94,33,ok
1449,1471,583.96,453.91,583.96,1.36,2,ok
1449,17229,325.33,256.32,325.33,0.79,40,ok
1449,17283,370.50,412.22,370.50,1.01,25,ok_undirected
1456,1447,193.27,217.84,193.27,0.45,73,ok
1456,1449,130.82,171.02,130.82,0.31,23,ok
1457,18805,2004.05,1223.71,1802.37,3.07,8,ok
1457,4172,3311.40,2794.00,3311.40,3.17,4,ok
1460,1680,627.09,623.82,627.09,1.36,6,ok
1460,2549,676.60,725.65,676.60,1.44,66,ok
1461,2359,1657.88,777.24,1657.88,3.20,141,ok
1467,1438,606.15,616.79,606.15,1.01,32,ok
1469,2291,613.43,476.82,613.43,1.46,12,ok
1469,3725,414.40,341.03,414.40,0.88,17,ok
1469,3915,456.53,438.69,456.53,0.91,97,ok
1470,1456,680.99,468.23,680.99,1.88,1,ok
1470,1471,188.01,145.39,188.01,0.46,24,ok
1471,1456,492.98,378.24,492.98,1.43,33,ok
1471,1460,460.63,416.67,460.63,1.38,21,ok
1471,17283,492.20,366.14,492.20,1.54,2,ok_undirected
1475,1681,226.21,247.97,226.21,0.56,10,ok
1476,1703,307.25,296.92,307.25,0.58,8,ok
1478,42807,1104.82,972.58,1104.82,1.25,76,ok
1479,3891,1882.62,1641.62,1882.62,2.20,59,ok
1480,1365,3063.38,3064.77,3063.38,2.93,16,ok
1480,1397,2574.13,2580.98,2574.13,2.46,52,ok
1480,38578,4694.51,1178.52,4694.51,6.46,2,ok
1482,1501,1460.14,1228.01,1460.14,1.36,14,ok
1482,4122,1337.51,1305.38,1337.51,1.16,54,ok
1485,4122,530.23,445.89,530.23,0.49,1,ok
1488,1496,249.80,164.56,249.80,0.65,57,ok
1491,51984,287.66,353.67,287.66,0.68,19,ok
1492,1500,688.63,497.23,688.63,1.95,5,ok
1493,17263,337.62,332.50,337.62,0.67,2,ok
1495,1365,4089.67,3977.82,4089.67,4.06,4,ok
1495,1480,1026.29,963.01,1026.29,1.13,70,ok
1495,40890,1139.10,842.88,1139.10,1.32,18,ok
1496,3071,276.56,273.24,276.56,0.69,57,ok
1498,1492,399.17,371.34,399.17,0.98,5,ok
1499,17264,3804.78,3479.47,3804.78,3.86,2,ok
1500,17242,562.54,557.98,562.54,1.38,5,ok
1501,1510,557.25,385.08,525.42,1.11,14,ok
1504,4048,389.50,422.51,389.50,0.73,5,ok
1506,17244,750.03,706.28,750.03,2.07,2,ok
1507,1495,493.68,368.33,493.68,0.79,12,ok
1507,16930,471.13,419.97,439.29,0.66,4,ok_undirected
1510,1517,486.02,461.67,486.02,0.61,14,ok
1515,1507,523.58,515.97,523.58,1.80,16,ok
1516,1364,4331.20,4190.79,4331.20,7.45,14,ok
1516,1376,4367.69,4117.02,4367.69,7.50,3,ok
1517,1555,1625.74,1591.40,1625.74,1.50,14,ok
1522,1546,521.26,483.23,521.26,0.52,2,ok
1522,17340,521.26,511.73,521.26,0.52,3,ok
1523,1528,1263.43,1057.66,1263.43,2.18,4,ok
1523,1531,265.39,195.08,265.39,0.85,6,ok
1523,1538,445.45,382.38,445.45,1.34,3,ok
1525,17245,228.02,267.59,228.02,0.68,14,ok
1527,1525,187.31,98.58,187.31,0.68,7,ok
1527,1528,1334.21,1058.25,1334.21,2.41,3,ok
1528,17243,685.23,632.50,244.70,1.75,7,ok
1530,1504,1549.25,1131.67,1549.25,2.99,5,ok
1531,1538,180.07,200.56,180.07,0.49,6,ok
1532,42823,3168.61,2972.90,3168.61,5.78,2,ok
1534,40804,3854.92,3467.22,879.92,8.78,3,ok
1535,17238,411.46,396.92,411.46,0.84,2,ok
1536,17394,204.26,188.37,204.26,0.52,5,ok
1537,1527,189.52,210.85,189.52,0.52,10,ok
1538,1542,353.31,312.66,353.31,1.04,9,ok
1539,1530,173.69,213.40,173.69,0.25,2,ok
1540,1537,382.61,366.75,382.61,1.30,10,ok
1542,1547,189.96,173.89,189.96,0.59,3,ok
1542,35994,339.93,309.76,339.93,0.99,6,ok
1546,1535,3093.90,2884.42,3093.90,4.97,2,ok
1547,1540,223.24,218.76,223.24,0.81,10,ok
1548,1547,307.27,297.09,307.27,0.92,7,ok
1549,1515,1585.23,1532.23,1585.23,1.86,15,ok
1549,48400,2714.90,1239.88,2714.90,4.63,1,ok
1553,45005,291.94,185.22,174.53,0.94,6,ok
1554,40804,2010.30,655.05,2010.30,3.84,2,ok
1555,1563,453.27,370.58,453.27,1.21,6,ok
